Dex,MoveName,Method
230,"Dragon Dance","Level 62"
99,"Bubble","Level 1"
99,"Leer","Level 1"
99,"ViceGrip","Level 1"
99,"Leer","Level 5"
99,"ViceGrip","Level 12"
99,"Harden","Level 16"
99,"Mud Shot","Level 23"
99,"Stomp","Level 27"
99,"Guillotine","Level 38"
99,"Protect","Level 49"
99,"Crabhammer","Level 57"
281,"Growl","Level 1"
281,"Confusion","Level 1"
281,"Double Team","Level 1"
281,"Teleport","Level 1"
281,"Confusion","Level 6"
281,"Double Team","Level 11"
281,"Teleport","Level 16"
281,"Calm Mind","Level 21"
281,"Psychic","Level 26"
281,"Imprison","Level 33"
281,"Future Sight","Level 40"
281,"Hypnosis","Level 47"
281,"Dream Eater","Level 54"
109,"Poison Gas","Level 1"
109,"Tackle","Level 1"
109,"Smog","Level 9"
109,"Selfdestruct","Level 17"
109,"Sludge","Level 21"
109,"SmokeScreen","Level 25"
109,"Haze","Level 33"
109,"Explosion","Level 41"
109,"Destiny Bond","Level 45"
109,"Memento","Level 49"
98,"Bubble","Level 1"
98,"Leer","Level 5"
98,"ViceGrip","Level 12"
98,"Harden","Level 16"
98,"Mud Shot","Level 23"
98,"Stomp","Level 27"
98,"Guillotine","Level 34"
98,"Protect","Level 41"
98,"Crabhammer","Level 45"
382,"Water Pulse","Level 1"
382,"Scary Face","Level 5"
382,"AncientPower","Level 15"
382,"Body Slam","Level 20"
382,"Calm Mind","Level 30"
382,"Ice Beam","Level 35"
382,"Hydro Pump","Level 45"
382,"Rest","Level 50"
382,"Sheer Cold","Level 60"
382,"Double-Edge","Level 65"
382,"Water Spout","Level 75"
305,"Tackle","Level 1"
305,"Harden","Level 1"
305,"Mud-Slap","Level 1"
305,"Headbutt","Level 1"
305,"Harden","Level 4"
305,"Mud-Slap","Level 7"
305,"Headbutt","Level 10"
305,"Metal Claw","Level 13"
305,"Iron Defense","Level 17"
305,"Roar","Level 21"
305,"Take Down","Level 25"
305,"Iron Tail","Level 29"
305,"Protect","Level 37"
305,"Metal Sound","Level 45"
305,"Double-Edge","Level 53"
171,"Bubble","Level 1"
171,"Thunder Wave","Level 1"
171,"Supersonic","Level 1"
171,"Supersonic","Level 5"
171,"Flail","Level 13"
171,"Water Gun","Level 17"
171,"Spark","Level 25"
171,"Confuse Ray","Level 32"
171,"Take Down","Level 43"
171,"Hydro Pump","Level 50"
171,"Charge","Level 61"
131,"Water Gun","Level 1"
131,"Growl","Level 1"
131,"Sing","Level 1"
131,"Mist","Level 7"
131,"Body Slam","Level 13"
131,"Confuse Ray","Level 19"
131,"Perish Song","Level 25"
131,"Ice Beam","Level 31"
131,"Rain Dance","Level 37"
131,"Safeguard","Level 43"
131,"Hydro Pump","Level 49"
131,"Sheer Cold","Level 55"
246,"Bite","Level 1"
246,"Leer","Level 1"
246,"Sandstorm","Level 8"
246,"Screech","Level 15"
246,"Rock Slide","Level 22"
246,"Thrash","Level 29"
246,"Scary Face","Level 36"
246,"Crunch","Level 43"
246,"Earthquake","Level 50"
246,"Hyper Beam","Level 57"
380,"Psywave","Level 1"
380,"Wish","Level 5"
380,"Helping Hand","Level 10"
380,"Safeguard","Level 15"
380,"DragonBreath","Level 20"
380,"Water Sport","Level 25"
380,"Refresh","Level 30"
380,"Mist Ball","Level 35"
380,"Psychic","Level 40"
380,"Recover","Level 45"
380,"Charm","Level 50"
381,"Psywave","Level 1"
381,"Memento","Level 5"
381,"Helping Hand","Level 10"
381,"Safeguard","Level 15"
381,"DragonBreath","Level 20"
381,"Protect","Level 25"
381,"Refresh","Level 30"
381,"Luster Purge","Level 35"
381,"Psychic","Level 40"
381,"Recover","Level 45"
381,"Dragon Dance","Level 50"
166,"Tackle","Level 1"
166,"Supersonic","Level 1"
166,"Supersonic","Level 8"
166,"Comet Punch","Level 15"
166,"Light Screen","Level 24"
166,"Reflect","Level 24"
166,"Safeguard","Level 24"
166,"Baton Pass","Level 33"
166,"Swift","Level 42"
166,"Agility","Level 51"
166,"Double-Edge","Level 60"
165,"Tackle","Level 1"
165,"Supersonic","Level 8"
165,"Comet Punch","Level 15"
165,"Light Screen","Level 22"
165,"Reflect","Level 22"
165,"Safeguard","Level 22"
165,"Baton Pass","Level 29"
165,"Swift","Level 36"
165,"Agility","Level 43"
165,"Double-Edge","Level 50"
108,"Lick","Level 1"
108,"Supersonic","Level 7"
108,"Defense Curl","Level 12"
108,"Knock Off","Level 18"
108,"Stomp","Level 23"
108,"Wrap","Level 29"
108,"Disable","Level 34"
108,"Slam","Level 40"
108,"Screech","Level 45"
108,"Refresh","Level 51"
345,"Astonish","Level 1"
345,"Constrict","Level 8"
345,"Acid","Level 15"
345,"Ingrain","Level 22"
345,"Confuse Ray","Level 29"
345,"Amnesia","Level 36"
345,"AncientPower","Level 43"
345,"Stockpile","Level 50"
345,"Swallow","Level 50"
345,"Spit Up","Level 50"
264,"Tackle","Level 1"
264,"Growl","Level 1"
264,"Tail Whip","Level 1"
264,"Headbutt","Level 1"
264,"Tail Whip","Level 5"
264,"Headbutt","Level 9"
264,"Sand-Attack","Level 13"
264,"Odor Sleuth","Level 17"
264,"Mud Sport","Level 23"
264,"Fury Swipes","Level 29"
264,"Covet","Level 35"
264,"Slash","Level 41"
264,"Rest","Level 47"
264,"Belly Drum","Level 53"
271,"Astonish","Level 1"
271,"Growl","Level 3"
271,"Absorb","Level 7"
271,"Nature Power","Level 13"
271,"Fake Out","Level 19"
271,"Fury Swipes","Level 25"
271,"Water Sport","Level 31"
271,"Thief","Level 37"
271,"Uproar","Level 43"
271,"Hydro Pump","Level 49"
270,"Astonish","Level 1"
270,"Growl","Level 3"
270,"Absorb","Level 7"
270,"Nature Power","Level 13"
270,"Mist","Level 21"
270,"Rain Dance","Level 31"
270,"Mega Drain","Level 43"
294,"Pound","Level 1"
294,"Uproar","Level 1"
294,"Astonish","Level 1"
294,"Howl","Level 1"
294,"Uproar","Level 5"
294,"Astonish","Level 11"
294,"Howl","Level 15"
294,"Supersonic","Level 23"
294,"Stomp","Level 29"
294,"Screech","Level 37"
294,"Roar","Level 43"
294,"Rest","Level 51"
294,"Sleep Talk","Level 51"
294,"Hyper Voice","Level 57"
272,"Astonish","Level 1"
272,"Growl","Level 1"
272,"Absorb","Level 1"
272,"Nature Power","Level 1"
249,"Whirlwind","Level 1"
249,"Safeguard","Level 11"
249,"Gust","Level 22"
249,"Recover","Level 33"
249,"Hydro Pump","Level 44"
249,"Rain Dance","Level 55"
249,"Swift","Level 66"
249,"Aeroblast","Level 77"
249,"AncientPower","Level 88"
249,"Future Sight","Level 99"
337,"Tackle","Level 1"
337,"Harden","Level 1"
337,"Confusion","Level 7"
337,"Rock Throw","Level 13"
337,"Hypnosis","Level 19"
337,"Psywave","Level 25"
337,"Cosmic Power","Level 31"
337,"Psychic","Level 37"
337,"Future Sight","Level 43"
337,"Explosion","Level 49"
370,"Tackle","Level 1"
370,"Charm","Level 4"
370,"Water Gun","Level 12"
370,"Agility","Level 16"
370,"Take Down","Level 24"
370,"Attract","Level 28"
370,"Sweet Kiss","Level 36"
370,"Flail","Level 40"
370,"Safeguard","Level 48"
68,"Low Kick","Level 1"
68,"Leer","Level 1"
68,"Focus Energy","Level 1"
68,"Focus Energy","Level 7"
68,"Karate Chop","Level 13"
68,"Seismic Toss","Level 19"
68,"Foresight","Level 22"
68,"Revenge","Level 25"
68,"Vital Throw","Level 33"
68,"Submission","Level 41"
68,"Cross Chop","Level 46"
68,"Scary Face","Level 51"
68,"DynamicPunch","Level 59"
67,"Low Kick","Level 1"
67,"Leer","Level 1"
67,"Focus Energy","Level 1"
67,"Focus Energy","Level 7"
67,"Karate Chop","Level 13"
67,"Seismic Toss","Level 19"
67,"Foresight","Level 22"
67,"Revenge","Level 25"
67,"Vital Throw","Level 33"
67,"Submission","Level 41"
67,"Cross Chop","Level 46"
67,"Scary Face","Level 51"
67,"DynamicPunch","Level 59"
66,"Low Kick","Level 1"
66,"Leer","Level 1"
66,"Focus Energy","Level 7"
66,"Karate Chop","Level 13"
66,"Seismic Toss","Level 19"
66,"Foresight","Level 22"
66,"Revenge","Level 25"
66,"Vital Throw","Level 31"
66,"Submission","Level 37"
66,"Cross Chop","Level 40"
66,"Scary Face","Level 43"
66,"DynamicPunch","Level 49"
240,"Ember","Level 1"
240,"Leer","Level 7"
240,"Smog","Level 13"
240,"Fire Punch","Level 19"
240,"SmokeScreen","Level 25"
240,"Sunny Day","Level 31"
240,"Flamethrower","Level 37"
240,"Confuse Ray","Level 43"
240,"Fire Blast","Level 49"
219,"Smog","Level 1"
219,"Yawn","Level 1"
219,"Ember","Level 1"
219,"Rock Throw","Level 1"
219,"Ember","Level 8"
219,"Rock Throw","Level 15"
219,"Harden","Level 22"
219,"Amnesia","Level 29"
219,"Flamethrower","Level 36"
219,"Rock Slide","Level 48"
219,"Body Slam","Level 60"
129,"Splash","Level 1"
129,"Tackle","Level 15"
129,"Flail","Level 30"
126,"Ember","Level 1"
126,"Leer","Level 1"
126,"Smog","Level 1"
126,"Fire Punch","Level 1"
126,"Leer","Level 7"
126,"Smog","Level 13"
126,"Fire Punch","Level 19"
126,"SmokeScreen","Level 25"
126,"Sunny Day","Level 33"
126,"Flamethrower","Level 41"
126,"Confuse Ray","Level 49"
126,"Fire Blast","Level 57"
81,"Tackle","Level 1"
81,"Metal Sound","Level 1"
81,"ThunderShock","Level 6"
81,"Supersonic","Level 11"
81,"SonicBoom","Level 16"
81,"Thunder Wave","Level 21"
81,"Spark","Level 26"
81,"Lock-On","Level 32"
81,"Swift","Level 38"
81,"Screech","Level 44"
81,"Zap Cannon","Level 50"
82,"Tackle","Level 1"
82,"Metal Sound","Level 1"
82,"ThunderShock","Level 1"
82,"Supersonic","Level 1"
82,"ThunderShock","Level 6"
82,"Supersonic","Level 11"
82,"SonicBoom","Level 16"
82,"Thunder Wave","Level 21"
82,"Spark","Level 26"
82,"Lock-On","Level 35"
82,"Tri Attack","Level 44"
82,"Screech","Level 53"
82,"Zap Cannon","Level 62"
296,"Tackle","Level 1"
296,"Focus Energy","Level 1"
296,"Sand-Attack","Level 4"
296,"Arm Thrust","Level 10"
296,"Vital Throw","Level 13"
296,"Fake Out","Level 19"
296,"Whirlwind","Level 22"
296,"Knock Off","Level 28"
296,"SmellingSalt","Level 31"
296,"Belly Drum","Level 37"
296,"Endure","Level 40"
296,"Seismic Toss","Level 46"
296,"Reversal","Level 49"
310,"Tackle","Level 1"
310,"Thunder Wave","Level 1"
310,"Leer","Level 1"
310,"Howl","Level 1"
310,"Thunder Wave","Level 4"
310,"Leer","Level 9"
310,"Howl","Level 12"
310,"Quick Attack","Level 17"
310,"Spark","Level 20"
310,"Odor Sleuth","Level 25"
310,"Roar","Level 31"
310,"Bite","Level 39"
310,"Thunder","Level 45"
310,"Charge","Level 53"
56,"Scratch","Level 1"
56,"Leer","Level 1"
56,"Low Kick","Level 9"
56,"Karate Chop","Level 15"
56,"Fury Swipes","Level 21"
56,"Focus Energy","Level 27"
56,"Seismic Toss","Level 33"
56,"Cross Chop","Level 39"
56,"Screech","Level 45"
56,"Thrash","Level 51"
226,"Tackle","Level 1"
226,"Bubble","Level 1"
226,"Supersonic","Level 8"
226,"BubbleBeam","Level 15"
226,"Take Down","Level 22"
226,"Agility","Level 29"
226,"Wing Attack","Level 36"
226,"Water Pulse","Level 43"
226,"Confuse Ray","Level 50"
179,"Tackle","Level 1"
179,"Growl","Level 1"
179,"ThunderShock","Level 9"
179,"Thunder Wave","Level 16"
179,"Cotton Spore","Level 23"
179,"Light Screen","Level 30"
179,"Thunder","Level 37"
183,"Tackle","Level 1"
183,"Defense Curl","Level 3"
183,"Tail Whip","Level 6"
183,"Water Gun","Level 10"
183,"Rollout","Level 15"
183,"BubbleBeam","Level 21"
183,"Double-Edge","Level 28"
183,"Rain Dance","Level 36"
183,"Hydro Pump","Level 45"
105,"Growl","Level 1"
105,"Tail Whip","Level 1"
105,"Bone Club","Level 1"
105,"Headbutt","Level 1"
105,"Tail Whip","Level 5"
105,"Bone Club","Level 9"
105,"Headbutt","Level 13"
105,"Leer","Level 17"
105,"Focus Energy","Level 21"
105,"Bonemerang","Level 25"
105,"Rage","Level 32"
105,"False Swipe","Level 39"
105,"Thrash","Level 46"
105,"Bone Rush","Level 53"
105,"Double-Edge","Level 61"
259,"Tackle","Level 1"
259,"Growl","Level 1"
259,"Mud-Slap","Level 1"
259,"Water Gun","Level 1"
259,"Mud-Slap","Level 6"
259,"Water Gun","Level 10"
259,"Bide","Level 15"
259,"Mud Shot","Level 16"
259,"Foresight","Level 20"
259,"Mud Sport","Level 25"
259,"Take Down","Level 31"
259,"Muddy Water","Level 37"
259,"Protect","Level 42"
259,"Earthquake","Level 46"
259,"Endeavor","Level 53"
284,"Bubble","Level 1"
284,"Quick Attack","Level 1"
284,"Sweet Scent","Level 1"
284,"Water Sport","Level 1"
284,"Quick Attack","Level 7"
284,"Sweet Scent","Level 13"
284,"Water Sport","Level 19"
284,"Gust","Level 26"
284,"Scary Face","Level 33"
284,"Stun Spore","Level 40"
284,"Silver Wind","Level 47"
284,"Whirlwind","Level 53"
303,"Astonish","Level 1"
303,"Fake Tears","Level 6"
303,"Bite","Level 11"
303,"Sweet Scent","Level 16"
303,"ViceGrip","Level 21"
303,"Faint Attack","Level 26"
303,"Baton Pass","Level 31"
303,"Crunch","Level 36"
303,"Iron Defense","Level 41"
303,"Stockpile","Level 46"
303,"Swallow","Level 46"
303,"Spit Up","Level 46"
308,"Fire Punch","Level 1"
308,"Ice Punch","Level 1"
308,"ThunderPunch","Level 1"
308,"Bide","Level 1"
308,"Meditate","Level 1"
308,"Confusion","Level 1"
308,"Detect","Level 1"
308,"Meditate","Level 4"
308,"Confusion","Level 9"
308,"Detect","Level 12"
308,"Hidden Power","Level 18"
308,"Mind Reader","Level 22"
308,"Calm Mind","Level 28"
308,"Hi Jump Kick","Level 32"
308,"Psych Up","Level 40"
308,"Reversal","Level 46"
308,"Recover","Level 54"
307,"Bide","Level 1"
307,"Meditate","Level 4"
307,"Confusion","Level 9"
307,"Detect","Level 12"
307,"Hidden Power","Level 18"
307,"Mind Reader","Level 22"
307,"Calm Mind","Level 28"
307,"Hi Jump Kick","Level 32"
307,"Psych Up","Level 38"
307,"Reversal","Level 42"
307,"Recover","Level 48"
154,"Tackle","Level 1"
154,"Growl","Level 1"
154,"Razor Leaf","Level 1"
154,"Reflect","Level 1"
154,"Razor Leaf","Level 8"
154,"Reflect","Level 12"
154,"PoisonPowder","Level 15"
154,"Synthesis","Level 23"
154,"Body Slam","Level 31"
154,"Light Screen","Level 41"
154,"Safeguard","Level 51"
154,"SolarBeam","Level 61"
52,"Scratch","Level 1"
52,"Growl","Level 1"
52,"Bite","Level 11"
52,"Pay Day","Level 20"
52,"Faint Attack","Level 28"
52,"Screech","Level 35"
52,"Fury Swipes","Level 41"
52,"Slash","Level 46"
52,"Fake Out","Level 50"
376,"Take Down","Level 1"
376,"Confusion","Level 1"
376,"Metal Claw","Level 1"
376,"Scary Face","Level 1"
376,"Confusion","Level 20"
376,"Metal Claw","Level 20"
376,"Scary Face","Level 26"
376,"Pursuit","Level 32"
376,"Psychic","Level 38"
376,"Iron Defense","Level 44"
376,"Meteor Mash","Level 55"
376,"Agility","Level 66"
376,"Hyper Beam","Level 77"
375,"Take Down","Level 1"
375,"Confusion","Level 20"
375,"Metal Claw","Level 20"
375,"Scary Face","Level 26"
375,"Pursuit","Level 32"
375,"Psychic","Level 38"
375,"Iron Defense","Level 44"
375,"Meteor Mash","Level 50"
375,"Agility","Level 56"
375,"Hyper Beam","Level 62"
11,"Harden","Level 1"
11,"Harden","Level 7"
151,"Pound","Level 1"
151,"Transform","Level 10"
151,"Mega Punch","Level 20"
151,"Metronome","Level 30"
151,"Psychic","Level 40"
151,"AncientPower","Level 50"
150,"Confusion","Level 1"
150,"Disable","Level 1"
150,"Barrier","Level 11"
150,"Swift","Level 22"
150,"Psych Up","Level 33"
150,"Future Sight","Level 44"
150,"Mist","Level 55"
150,"Psychic","Level 66"
150,"Amnesia","Level 77"
150,"Recover","Level 88"
150,"Safeguard","Level 99"
262,"Tackle","Level 1"
262,"Howl","Level 1"
262,"Sand-Attack","Level 1"
262,"Bite","Level 1"
262,"Howl","Level 5"
262,"Sand-Attack","Level 9"
262,"Bite","Level 13"
262,"Odor Sleuth","Level 17"
262,"Roar","Level 22"
262,"Swagger","Level 27"
262,"Scary Face","Level 32"
262,"Take Down","Level 37"
262,"Taunt","Level 42"
262,"Crunch","Level 47"
262,"Thief","Level 52"
350,"Water Gun","Level 1"
350,"Wrap","Level 5"
350,"Water Sport","Level 10"
350,"Refresh","Level 15"
350,"Water Pulse","Level 20"
350,"Twister","Level 25"
350,"Recover","Level 30"
350,"Rain Dance","Level 35"
350,"Hydro Pump","Level 40"
350,"Attract","Level 45"
350,"Safeguard","Level 50"
241,"Tackle","Level 1"
241,"Growl","Level 4"
241,"Defense Curl","Level 8"
241,"Stomp","Level 13"
241,"Milk Drink","Level 19"
241,"Bide","Level 26"
241,"Rollout","Level 34"
241,"Body Slam","Level 43"
241,"Heal Bell","Level 53"
312,"Growl","Level 1"
312,"Thunder Wave","Level 4"
312,"Quick Attack","Level 10"
312,"Helping Hand","Level 13"
312,"Spark","Level 19"
312,"Encore","Level 22"
312,"Charm","Level 28"
312,"Charge","Level 31"
312,"Thunder","Level 37"
312,"Baton Pass","Level 40"
312,"Agility","Level 47"
200,"Growl","Level 1"
200,"Psywave","Level 1"
200,"Spite","Level 6"
200,"Astonish","Level 11"
200,"Confuse Ray","Level 17"
200,"Mean Look","Level 23"
200,"Psybeam","Level 30"
200,"Pain Split","Level 37"
200,"Perish Song","Level 45"
200,"Grudge","Level 53"
146,"Wing Attack","Level 1"
146,"Ember","Level 1"
146,"Fire Spin","Level 13"
146,"Agility","Level 25"
146,"Endure","Level 37"
146,"Flamethrower","Level 49"
146,"Safeguard","Level 61"
146,"Heat Wave","Level 73"
146,"Sky Attack","Level 85"
122,"Barrier","Level 1"
122,"Confusion","Level 5"
122,"Substitute","Level 9"
122,"Meditate","Level 13"
122,"DoubleSlap","Level 17"
122,"Light Screen","Level 21"
122,"Reflect","Level 21"
122,"Encore","Level 25"
122,"Psybeam","Level 29"
122,"Recycle","Level 33"
122,"Trick","Level 37"
122,"Role Play","Level 41"
122,"Psychic","Level 45"
122,"Baton Pass","Level 49"
122,"Safeguard","Level 53"
258,"Tackle","Level 1"
258,"Growl","Level 1"
258,"Mud-Slap","Level 6"
258,"Water Gun","Level 10"
258,"Bide","Level 15"
258,"Foresight","Level 19"
258,"Mud Sport","Level 24"
258,"Take Down","Level 28"
258,"Whirlpool","Level 33"
258,"Protect","Level 37"
258,"Hydro Pump","Level 42"
258,"Endeavor","Level 46"
89,"Poison Gas","Level 1"
89,"Pound","Level 1"
89,"Harden","Level 1"
89,"Harden","Level 4"
89,"Disable","Level 8"
89,"Sludge","Level 13"
89,"Minimize","Level 19"
89,"Screech","Level 26"
89,"Acid Armor","Level 34"
89,"Sludge Bomb","Level 47"
89,"Memento","Level 61"
198,"Peck","Level 1"
198,"Astonish","Level 9"
198,"Pursuit","Level 14"
198,"Haze","Level 22"
198,"Night Shade","Level 27"
198,"Faint Attack","Level 35"
198,"Taunt","Level 40"
198,"Mean Look","Level 48"
177,"Peck","Level 1"
177,"Leer","Level 1"
177,"Night Shade","Level 10"
177,"Teleport","Level 20"
177,"Wish","Level 30"
177,"Future Sight","Level 30"
177,"Confuse Ray","Level 40"
177,"Psychic","Level 50"
34,"Peck","Level 1"
34,"Focus Energy","Level 1"
34,"Double Kick","Level 1"
34,"Poison Sting","Level 1"
34,"Thrash","Level 23"
31,"Scratch","Level 1"
31,"Tail Whip","Level 1"
31,"Double Kick","Level 1"
31,"Poison Sting","Level 1"
31,"Body Slam","Level 23"
29,"Growl","Level 1"
29,"Scratch","Level 1"
29,"Tail Whip","Level 8"
29,"Double Kick","Level 12"
29,"Poison Sting","Level 17"
29,"Bite","Level 20"
29,"Helping Hand","Level 23"
29,"Fury Swipes","Level 30"
29,"Flatter","Level 38"
29,"Crunch","Level 47"
32,"Leer","Level 1"
32,"Peck","Level 1"
32,"Focus Energy","Level 8"
32,"Double Kick","Level 12"
32,"Poison Sting","Level 17"
32,"Horn Attack","Level 20"
32,"Helping Hand","Level 23"
32,"Fury Attack","Level 30"
32,"Flatter","Level 38"
32,"Horn Drill","Level 47"
30,"Growl","Level 1"
30,"Scratch","Level 1"
30,"Tail Whip","Level 8"
30,"Double Kick","Level 12"
30,"Poison Sting","Level 18"
30,"Bite","Level 22"
30,"Helping Hand","Level 26"
30,"Fury Swipes","Level 34"
30,"Flatter","Level 43"
30,"Crunch","Level 53"
33,"Leer","Level 1"
33,"Peck","Level 1"
33,"Focus Energy","Level 8"
33,"Double Kick","Level 12"
33,"Poison Sting","Level 18"
33,"Horn Attack","Level 22"
33,"Helping Hand","Level 26"
33,"Fury Attack","Level 34"
33,"Flatter","Level 43"
33,"Horn Drill","Level 53"
290,"Scratch","Level 1"
290,"Harden","Level 1"
290,"Leech Life","Level 5"
290,"Sand-Attack","Level 9"
290,"Fury Swipes","Level 14"
290,"Mind Reader","Level 19"
290,"False Swipe","Level 25"
290,"Mud-Slap","Level 31"
290,"Metal Claw","Level 38"
290,"Dig","Level 45"
38,"Ember","Level 1"
38,"Quick Attack","Level 1"
38,"Confuse Ray","Level 1"
38,"Safeguard","Level 1"
38,"Fire Spin","Level 45"
291,"Scratch","Level 1"
291,"Harden","Level 1"
291,"Leech Life","Level 1"
291,"Sand-Attack","Level 1"
291,"Leech Life","Level 5"
291,"Sand-Attack","Level 9"
291,"Fury Swipes","Level 14"
291,"Mind Reader","Level 19"
291,"Double Team","Level 20"
291,"Fury Cutter","Level 20"
291,"Screech","Level 20"
291,"Swords Dance","Level 25"
291,"Slash","Level 31"
291,"Agility","Level 38"
291,"Baton Pass","Level 45"
164,"Tackle","Level 1"
164,"Growl","Level 1"
164,"Foresight","Level 1"
164,"Peck","Level 1"
164,"Foresight","Level 6"
164,"Peck","Level 11"
164,"Hypnosis","Level 16"
164,"Reflect","Level 25"
164,"Take Down","Level 33"
164,"Confusion","Level 41"
164,"Dream Eater","Level 57"
299,"Tackle","Level 1"
299,"Harden","Level 7"
299,"Rock Throw","Level 13"
299,"Block","Level 16"
299,"Thunder Wave","Level 22"
299,"Rock Slide","Level 28"
299,"Sandstorm","Level 31"
299,"Rest","Level 37"
299,"Zap Cannon","Level 43"
299,"Lock-On","Level 46"
322,"Growl","Level 1"
322,"Tackle","Level 1"
322,"Ember","Level 11"
322,"Magnitude","Level 19"
322,"Focus Energy","Level 25"
322,"Take Down","Level 29"
322,"Amnesia","Level 31"
322,"Earthquake","Level 35"
322,"Flamethrower","Level 41"
322,"Double-Edge","Level 49"
274,"Pound","Level 1"
274,"Harden","Level 3"
274,"Growth","Level 7"
274,"Nature Power","Level 13"
274,"Fake Out","Level 19"
274,"Torment","Level 25"
274,"Faint Attack","Level 31"
274,"Razor Wind","Level 37"
274,"Swagger","Level 43"
274,"Extrasensory","Level 49"
224,"Water Gun","Level 1"
224,"Constrict","Level 11"
224,"Psybeam","Level 22"
224,"Aurora Beam","Level 22"
224,"BubbleBeam","Level 22"
224,"Octazooka","Level 25"
224,"Focus Energy","Level 38"
224,"Ice Beam","Level 54"
224,"Hyper Beam","Level 70"
43,"Absorb","Level 1"
43,"Sweet Scent","Level 7"
43,"PoisonPowder","Level 14"
43,"Stun Spore","Level 16"
43,"Sleep Powder","Level 18"
43,"Acid","Level 23"
43,"Moonlight","Level 32"
43,"Petal Dance","Level 39"
138,"Constrict","Level 1"
138,"Withdraw","Level 1"
138,"Bite","Level 13"
138,"Water Gun","Level 19"
138,"Mud Shot","Level 25"
138,"Leer","Level 31"
138,"Protect","Level 37"
138,"Tickle","Level 43"
138,"AncientPower","Level 49"
138,"Hydro Pump","Level 55"
139,"Constrict","Level 1"
139,"Withdraw","Level 1"
139,"Bite","Level 1"
139,"Bite","Level 13"
139,"Water Gun","Level 19"
139,"Mud Shot","Level 25"
139,"Leer","Level 31"
139,"Protect","Level 37"
139,"Spike Cannon","Level 40"
139,"Tickle","Level 46"
139,"AncientPower","Level 55"
139,"Hydro Pump","Level 65"
95,"Tackle","Level 1"
95,"Screech","Level 1"
95,"Bind","Level 9"
95,"Rock Throw","Level 13"
95,"Harden","Level 21"
95,"Rage","Level 25"
95,"Sandstorm","Level 33"
95,"Slam","Level 37"
95,"Iron Tail","Level 45"
95,"Sand Tomb","Level 49"
95,"Double-Edge","Level 57"
46,"Scratch","Level 1"
46,"Stun Spore","Level 7"
46,"PoisonPowder","Level 13"
46,"Leech Life","Level 19"
46,"Spore","Level 25"
46,"Slash","Level 31"
46,"Growth","Level 37"
46,"Giga Drain","Level 43"
46,"Aromatherapy","Level 49"
47,"Scratch","Level 1"
47,"Stun Spore","Level 1"
47,"PoisonPowder","Level 1"
47,"Stun Spore","Level 7"
47,"PoisonPowder","Level 13"
47,"Leech Life","Level 19"
47,"Spore","Level 27"
47,"Slash","Level 35"
47,"Growth","Level 43"
47,"Giga Drain","Level 51"
47,"Aromatherapy","Level 59"
279,"Growl","Level 1"
279,"Water Gun","Level 1"
279,"Water Sport","Level 1"
279,"Wing Attack","Level 1"
279,"Water Gun","Level 3"
279,"Supersonic","Level 7"
279,"Wing Attack","Level 13"
279,"Mist","Level 21"
279,"Protect","Level 25"
279,"Stockpile","Level 33"
279,"Swallow","Level 33"
279,"Spit Up","Level 47"
279,"Hydro Pump","Level 61"
53,"Scratch","Level 1"
53,"Growl","Level 1"
53,"Bite","Level 1"
53,"Bite","Level 11"
53,"Pay Day","Level 20"
53,"Faint Attack","Level 29"
53,"Screech","Level 38"
53,"Fury Swipes","Level 46"
53,"Slash","Level 53"
53,"Fake Out","Level 59"
231,"Odor Sleuth","Level 1"
231,"Tackle","Level 1"
231,"Growl","Level 1"
231,"Defense Curl","Level 9"
231,"Flail","Level 17"
231,"Take Down","Level 25"
231,"Rollout","Level 33"
231,"Endure","Level 41"
231,"Double-Edge","Level 49"
172,"ThunderShock","Level 1"
172,"Charm","Level 1"
172,"Tail Whip","Level 6"
172,"Thunder Wave","Level 8"
172,"Sweet Kiss","Level 11"
18,"Tackle","Level 1"
18,"Sand-Attack","Level 1"
18,"Gust","Level 1"
18,"Quick Attack","Level 1"
18,"Sand-Attack","Level 5"
18,"Gust","Level 9"
18,"Quick Attack","Level 13"
18,"Whirlwind","Level 20"
18,"Wing Attack","Level 27"
18,"FeatherDance","Level 34"
18,"Agility","Level 48"
18,"Mirror Move","Level 62"
17,"Tackle","Level 1"
17,"Sand-Attack","Level 1"
17,"Gust","Level 1"
17,"Sand-Attack","Level 5"
17,"Gust","Level 9"
17,"Quick Attack","Level 13"
17,"Whirlwind","Level 20"
17,"Wing Attack","Level 27"
17,"FeatherDance","Level 34"
17,"Agility","Level 43"
17,"Mirror Move","Level 52"
16,"Tackle","Level 1"
16,"Sand-Attack","Level 5"
16,"Gust","Level 9"
16,"Quick Attack","Level 13"
16,"Whirlwind","Level 19"
16,"Wing Attack","Level 25"
16,"FeatherDance","Level 31"
16,"Agility","Level 39"
16,"Mirror Move","Level 47"
25,"ThunderShock","Level 1"
25,"Growl","Level 1"
25,"Tail Whip","Level 6"
25,"Thunder Wave","Level 8"
25,"Quick Attack","Level 11"
25,"Double Team","Level 15"
25,"Slam","Level 20"
25,"Thunderbolt","Level 26"
25,"Agility","Level 33"
25,"Thunder","Level 41"
25,"Light Screen","Level 50"
221,"Horn Attack","Level 1"
221,"Odor Sleuth","Level 1"
221,"Powder Snow","Level 1"
221,"Endure","Level 1"
221,"Powder Snow","Level 10"
221,"Endure","Level 19"
