NDex#,Move
96,"Barrier"
96,"Belly Drum"
96,"Bide"
96,"Body Slam"
96,"Brick Break"
96,"Calm Mind"
96,"Confusion"
96,"Counter"
96,"Curse"
96,"Disable"
96,"Double-Edge"
96,"Double Team"
96,"Dream Eater"
96,"Dynamic Punch"
96,"Endure"
96,"Facade"
96,"Fire Punch"
96,"Flash"
96,"Flatter"
96,"Focus Punch"
96,"Frustration"
96,"Future Sight"
96,"Headbutt"
96,"Hidden Power"
96,"Hypnosis"
96,"Ice Punch"
96,"Light Screen"
96,"Low Kick"
96,"Magic Coat"
96,"Meditate"
96,"Mega Kick"
96,"Mega Punch"
96,"Metronome"
96,"Mimic"
96,"Nightmare"
96,"Poison Gas"
96,"Pound"
96,"Protect"
96,"Psybeam"
96,"Psychic"
96,"Psych Up"
96,"Psywave"
96,"Rage"
96,"Rain Dance"
96,"Reflect"
96,"Rest"
96,"Return"
96,"Role Play"
96,"Safeguard"
96,"Secret Power"
96,"Seismic Toss"
96,"Shadow Ball"
96,"Signal Beam"
96,"Skill Swap"
96,"Skull Bash"
96,"Sleep Talk"
96,"Snatch"
96,"Snore"
96,"Submission"
96,"Substitute"
96,"Sunny Day"
96,"Swagger"
96,"Take Down"
96,"Taunt"
96,"Teleport"
96,"Thief"
96,"Thunder Punch"
96,"Thunder Wave"
96,"Torment"
96,"Toxic"
96,"Tri Attack"
96,"Trick"
96,"Wish"
96,"Zap Cannon"
97,"Attract"
97,"Barrier"
97,"Baton Pass"
97,"Bide"
97,"Body Slam"
97,"Brick Break"
97,"Calm Mind"
97,"Confusion"
97,"Counter"
97,"Curse"
97,"Disable"
97,"Double-Edge"
97,"Double Team"
97,"Dream Eater"
97,"Dynamic Punch"
97,"Endure"
97,"Facade"
97,"Fire Punch"
97,"Flash"
97,"Focus Punch"
97,"Frustration"
97,"Future Sight"
97,"Headbutt"
97,"Hidden Power"
97,"Hyper Beam"
97,"Hypnosis"
97,"Ice Punch"
97,"Light Screen"
97,"Low Kick"
97,"Magic Coat"
97,"Meditate"
97,"Mega Kick"
97,"Mega Punch"
97,"Metronome"
97,"Mimic"
97,"Nightmare"
97,"Poison Gas"
97,"Pound"
97,"Protect"
97,"Psybeam"
97,"Psychic"
97,"Psych Up"
97,"Psywave"
97,"Rage"
97,"Rain Dance"
97,"Reflect"
97,"Rest"
97,"Return"
97,"Role Play"
97,"Safeguard"
97,"Secret Power"
97,"Seismic Toss"
97,"Shadow Ball"
97,"Signal Beam"
97,"Skill Swap"
97,"Skull Bash"
97,"Sleep Talk"
97,"Snatch"
97,"Snore"
97,"Submission"
97,"Substitute"
97,"Sunny Day"
97,"Swagger"
97,"Take Down"
97,"Taunt"
97,"Teleport"
97,"Thief"
97,"Thunder Punch"
97,"Thunder Wave"
97,"Torment"
97,"Toxic"
97,"Tri Attack"
97,"Trick"
97,"Zap Cannon"
98,"Agility"
98,"Amnesia"
98,"Ancient Power"
98,"Attract"
98,"Bide"
98,"Blizzard"
98,"Body Slam"
98,"Brick Break"
98,"Bubble"
98,"Bubble Beam"
98,"Crabhammer"
98,"Curse"
98,"Cut"
98,"Dig"
98,"Dive"
98,"Double-Edge"
98,"Double Team"
98,"Endure"
98,"Facade"
98,"False Swipe"
98,"Flail"
98,"Frustration"
98,"Fury Cutter"
98,"Guillotine"
98,"Hail"
98,"Harden"
98,"Haze"
98,"Headbutt"
98,"Hidden Power"
98,"Ice Beam"
98,"Icy Wind"
98,"Iron Defense"
98,"Knock Off"
98,"Leer"
98,"Metal Claw"
98,"Mimic"
98,"Mud Shot"
98,"Mud-Slap"
98,"Mud Sport"
98,"Protect"
98,"Rage"
98,"Rain Dance"
98,"Rest"
98,"Return"
98,"Rock Slide"
98,"Rock Smash"
98,"Rock Tomb"
98,"Secret Power"
98,"Slam"
98,"Slash"
98,"Sleep Talk"
98,"Snore"
98,"Stomp"
98,"Strength"
98,"Substitute"
98,"Superpower"
98,"Surf"
98,"Swagger"
98,"Swords Dance"
98,"Take Down"
98,"Thief"
98,"Tickle"
98,"Toxic"
98,"Water Gun"
98,"Water Pulse"
98,"Whirlpool"
99,"Agility"
99,"Amnesia"
99,"Ancient Power"
99,"Attract"
99,"Bide"
99,"Blizzard"
99,"Body Slam"
99,"Brick Break"
99,"Bubble"
99,"Bubble Beam"
99,"Crabhammer"
99,"Curse"
99,"Cut"
99,"Dig"
99,"Dive"
99,"Double-Edge"
99,"Double Team"
99,"Endure"
99,"Facade"
99,"False Swipe"
99,"Flail"
99,"Frustration"
99,"Fury Cutter"
99,"Guillotine"
99,"Hail"
99,"Harden"
99,"Headbutt"
99,"Hidden Power"
99,"Hydro Pump"
99,"Hyper Beam"
99,"Ice Beam"
99,"Icy Wind"
99,"Iron Defense"
99,"Knock Off"
99,"Leer"
99,"Metal Claw"
99,"Mimic"
99,"Mud Shot"
99,"Mud-Slap"
99,"Mud Sport"
99,"Protect"
99,"Rage"
99,"Rain Dance"
99,"Rest"
99,"Return"
99,"Rock Slide"
99,"Rock Smash"
99,"Rock Tomb"
99,"Secret Power"
99,"Slam"
99,"Sleep Talk"
99,"Snore"
99,"Stomp"
99,"Strength"
99,"Substitute"
99,"Superpower"
99,"Surf"
99,"Swagger"
99,"Swords Dance"
99,"Take Down"
99,"Thief"
99,"Toxic"
99,"Water Gun"
99,"Water Pulse"
99,"Whirlpool"
100,"Bide"
100,"Charge"
100,"Curse"
100,"Double Team"
100,"Endure"
100,"Explosion"
100,"Facade"
100,"Flash"
100,"Frustration"
100,"Headbutt"
100,"Hidden Power"
100,"Light Screen"
100,"Magic Coat"
100,"Mimic"
100,"Mirror Coat"
100,"Protect"
100,"Rage"
100,"Rain Dance"
100,"Reflect"
100,"Refresh"
100,"Rest"
100,"Return"
100,"Rollout"
100,"Screech"
100,"Secret Power"
100,"Self-Destruct"
100,"Shock Wave"
100,"Signal Beam"
100,"Sleep Talk"
100,"Snore"
100,"Sonic Boom"
100,"Spark"
100,"Substitute"
100,"Swagger"
100,"Swift"
100,"Tackle"
100,"Take Down"
100,"Taunt"
100,"Teleport"
100,"Thief"
100,"Thunder"
100,"Thunderbolt"
100,"Thunder Shock"
100,"Thunder Wave"
100,"Torment"
100,"Toxic"
100,"Zap Cannon"
101,"Bide"
101,"Charge"
101,"Curse"
101,"Double Team"
101,"Endure"
101,"Explosion"
101,"Facade"
101,"Flash"
101,"Frustration"
101,"Headbutt"
101,"Hidden Power"
101,"Hyper Beam"
101,"Light Screen"
101,"Magic Coat"
101,"Mimic"
101,"Mirror Coat"
101,"Protect"
101,"Rage"
101,"Rain Dance"
101,"Reflect"
101,"Rest"
101,"Return"
101,"Rollout"
101,"Screech"
101,"Secret Power"
101,"Self-Destruct"
101,"Shock Wave"
101,"Signal Beam"
101,"Skull Bash"
101,"Sleep Talk"
101,"Snore"
101,"Sonic Boom"
101,"Spark"
101,"Substitute"
101,"Swagger"
101,"Swift"
101,"Tackle"
101,"Take Down"
101,"Taunt"
101,"Teleport"
101,"Thief"
101,"Thunder"
101,"Thunderbolt"
101,"Thunder Shock"
101,"Thunder Wave"
101,"Torment"
101,"Toxic"
101,"Zap Cannon"
102,"Absorb"
102,"Ancient Power"
102,"Attract"
102,"Barrage"
102,"Bide"
102,"Block"
102,"Bullet Seed"
102,"Confusion"
102,"Curse"
102,"Double-Edge"
102,"Double Team"
102,"Dream Eater"
102,"Egg Bomb"
102,"Endure"
102,"Explosion"
102,"Extrasensory"
102,"Facade"
102,"Flash"
102,"Frustration"
102,"Giga Drain"
102,"Headbutt"
102,"Hidden Power"
102,"Hypnosis"
102,"Ingrain"
102,"Leech Seed"
102,"Light Screen"
102,"Mega Drain"
102,"Mimic"
102,"Moonlight"
102,"Nature Power"
102,"Nightmare"
102,"Poison Powder"
102,"Protect"
102,"Psybeam"
102,"Psychic"
102,"Psych Up"
102,"Psywave"
102,"Rage"
102,"Reflect"
102,"Rest"
102,"Return"
102,"Rollout"
102,"Secret Power"
102,"Self-Destruct"
102,"Skill Swap"
102,"Sleep Powder"
102,"Sleep Talk"
102,"Sludge Bomb"
102,"Snore"
102,"Solar Beam"
102,"Strength"
102,"Stun Spore"
102,"Substitute"
102,"Sunny Day"
102,"Swagger"
102,"Sweet Scent"
102,"Swords Dance"
102,"Synthesis"
102,"Take Down"
102,"Teleport"
102,"Thief"
102,"Toxic"
102,"Uproar"
102,"Wish"
103,"Absorb"
103,"Ancient Power"
103,"Attract"
103,"Barrage"
103,"Bide"
103,"Block"
103,"Bullet Seed"
103,"Calm Mind"
103,"Confusion"
103,"Curse"
103,"Double-Edge"
103,"Double Team"
103,"Dream Eater"
103,"Egg Bomb"
103,"Endure"
103,"Explosion"
103,"Extrasensory"
103,"Facade"
103,"Flash"
103,"Frustration"
103,"Future Sight"
103,"Giga Drain"
103,"Headbutt"
103,"Hidden Power"
103,"Hyper Beam"
103,"Hypnosis"
103,"Leech Seed"
103,"Light Screen"
103,"Low Kick"
103,"Magical Leaf"
103,"Mega Drain"
103,"Mimic"
103,"Nature Power"
103,"Nightmare"
103,"Protect"
103,"Psychic"
103,"Psych Up"
103,"Psywave"
103,"Rage"
103,"Reflect"
103,"Refresh"
103,"Rest"
103,"Return"
103,"Rollout"
103,"Secret Power"
103,"Self-Destruct"
103,"Skill Swap"
103,"Sleep Talk"
103,"Sludge Bomb"
103,"Snore"
103,"Solar Beam"
103,"Stomp"
103,"Strength"
103,"Stun Spore"
103,"Substitute"
103,"Sunny Day"
103,"Swagger"
103,"Swords Dance"
103,"Synthesis"
103,"Take Down"
103,"Teleport"
103,"Thief"
103,"Toxic"
103,"Uproar"
104,"Aerial Ace"
104,"Ancient Power"
104,"Attract"
104,"Belly Drum"
104,"Bide"
104,"Blizzard"
104,"Body Slam"
104,"Bone Club"
104,"Bonemerang"
104,"Bone Rush"
104,"Brick Break"
104,"Bubble Beam"
104,"Counter"
104,"Curse"
104,"Detect"
104,"Dig"
104,"Double-Edge"
104,"Double Kick"
104,"Double Team"
104,"Dynamic Punch"
104,"Earthquake"
104,"Endeavor"
104,"Endure"
104,"Facade"
104,"False Swipe"
104,"Fire Blast"
104,"Fire Punch"
104,"Fissure"
104,"Flamethrower"
104,"Focus Energy"
104,"Focus Punch"
104,"Frustration"
104,"Fury Cutter"
104,"Growl"
104,"Headbutt"
104,"Hidden Power"
104,"Ice Beam"
104,"Icy Wind"
104,"Iron Defense"
104,"Iron Tail"
104,"Knock Off"
104,"Leer"
104,"Low Kick"
104,"Mega Kick"
104,"Mega Punch"
104,"Mimic"
104,"Mud-Slap"
104,"Perish Song"
104,"Protect"
104,"Rage"
104,"Rest"
104,"Return"
104,"Rock Slide"
104,"Rock Smash"
104,"Rock Tomb"
104,"Sandstorm"
104,"Screech"
104,"Secret Power"
104,"Seismic Toss"
104,"Skull Bash"
104,"Sleep Talk"
104,"Snore"
104,"Strength"
104,"Submission"
104,"Substitute"
104,"Sunny Day"
104,"Swagger"
104,"Swift"
104,"Swords Dance"
104,"Tail Whip"
104,"Take Down"
104,"Thief"
104,"Thrash"
104,"Thunder Punch"
104,"Toxic"
104,"Uproar"
104,"Water Gun"
105,"Aerial Ace"
105,"Attract"
105,"Bide"
105,"Blizzard"
105,"Body Slam"
105,"Bone Club"
105,"Bonemerang"
105,"Bone Rush"
105,"Brick Break"
105,"Bubble Beam"
105,"Counter"
105,"Curse"
105,"Detect"
105,"Dig"
105,"Double-Edge"
105,"Double Team"
105,"Dynamic Punch"
105,"Earthquake"
105,"Endeavor"
105,"Endure"
105,"Facade"
105,"False Swipe"
105,"Fire Blast"
105,"Fire Punch"
105,"Fissure"
105,"Flamethrower"
105,"Focus Energy"
105,"Focus Punch"
105,"Frustration"
105,"Fury Cutter"
105,"Growl"
105,"Headbutt"
105,"Hidden Power"
105,"Hyper Beam"
105,"Ice Beam"
105,"Icy Wind"
105,"Iron Defense"
105,"Iron Tail"
105,"Knock Off"
105,"Leer"
105,"Low Kick"
105,"Mega Kick"
105,"Mega Punch"
105,"Mimic"
105,"Mud-Slap"
105,"Outrage"
105,"Protect"
105,"Rage"
105,"Rest"
105,"Return"
105,"Rock Slide"
105,"Rock Smash"
105,"Rock Tomb"
105,"Sandstorm"
105,"Screech"
105,"Secret Power"
105,"Seismic Toss"
105,"Sing"
105,"Skull Bash"
105,"Sleep Talk"
105,"Snore"
105,"Strength"
105,"Submission"
105,"Substitute"
105,"Sunny Day"
105,"Swagger"
105,"Swift"
105,"Swords Dance"
105,"Tail Whip"
105,"Take Down"
105,"Thief"
105,"Thrash"
105,"Thunder Punch"
105,"Toxic"
105,"Uproar"
105,"Water Gun"
106,"Attract"
106,"Bide"
106,"Blaze Kick"
106,"Body Slam"
106,"Bounce"
106,"Brick Break"
106,"Bulk Up"
106,"Counter"
106,"Covet"
106,"Curse"
106,"Detect"
106,"Double-Edge"
106,"Double Kick"
106,"Double Team"
106,"Dynamic Punch"
106,"Earthquake"
106,"Endure"
106,"Facade"
106,"Fake Out"
106,"Focus Energy"
106,"Focus Punch"
106,"Foresight"
106,"Frustration"
106,"Headbutt"
106,"Helping Hand"
106,"Hidden Power"
106,"High Jump Kick"
106,"Jump Kick"
106,"Knock Off"
106,"Low Kick"
106,"Meditate"
106,"Mega Kick"
106,"Mega Punch"
106,"Metronome"
106,"Mimic"
106,"Mind Reader"
106,"Mud-Slap"
106,"Protect"
106,"Rage"
106,"Rain Dance"
106,"Refresh"
106,"Rest"
106,"Return"
106,"Revenge"
106,"Reversal"
106,"Rock Slide"
106,"Rock Smash"
106,"Rock Tomb"
106,"Role Play"
106,"Rolling Kick"
106,"Secret Power"
106,"Seismic Toss"
106,"Skull Bash"
106,"Sleep Talk"
106,"Snore"
106,"Strength"
106,"Submission"
106,"Substitute"
106,"Sunny Day"
106,"Superpower"
106,"Swagger"
106,"Swift"
106,"Tackle"
106,"Take Down"
106,"Thief"
106,"Toxic"
106,"Uproar"
107,"Agility"
107,"Attract"
107,"Bide"
107,"Body Slam"
107,"Brick Break"
107,"Bulk Up"
107,"Comet Punch"
107,"Counter"
107,"Covet"
107,"Curse"
107,"Detect"
107,"Dizzy Punch"
107,"Double-Edge"
107,"Double Team"
107,"Dynamic Punch"
107,"Earthquake"
107,"Endure"
107,"Facade"
107,"Fake Out"
107,"Fire Punch"
107,"Focus Energy"
107,"Focus Punch"
107,"Frustration"
107,"Headbutt"
107,"Helping Hand"
107,"Hidden Power"
107,"Ice Punch"
107,"Leer"
107,"Low Kick"
107,"Mach Punch"
107,"Mega Kick"
107,"Mega Punch"
107,"Metronome"
107,"Mimic"
107,"Mind Reader"
107,"Mud-Slap"
107,"Protect"
107,"Pursuit"
107,"Rage"
107,"Rain Dance"
107,"Rest"
107,"Return"
107,"Revenge"
107,"Rock Slide"
107,"Rock Smash"
107,"Rock Tomb"
107,"Role Play"
107,"Secret Power"
107,"Seismic Toss"
107,"Skull Bash"
107,"Sky Uppercut"
107,"Sleep Talk"
107,"Snore"
107,"Strength"
107,"Submission"
107,"Substitute"
107,"Sunny Day"
107,"Swagger"
107,"Swift"
107,"Tackle"
107,"Take Down"
107,"Thief"
107,"Thunder Punch"
107,"Toxic"
107,"Uproar"
108,"Acid"
108,"Amnesia"
108,"Attract"
108,"Belly Drum"
108,"Bide"
108,"Bind"
108,"Blizzard"
108,"Body Slam"
108,"Brick Break"
108,"Bubble Beam"
108,"Counter"
108,"Curse"
108,"Cut"
108,"Defense Curl"
108,"Dig"
108,"Disable"
108,"Double-Edge"
108,"Double Team"
108,"Dream Eater"
108,"Dynamic Punch"
108,"Earthquake"
108,"Endure"
108,"Facade"
108,"Fire Blast"
108,"Fire Punch"
108,"Fissure"
108,"Flamethrower"
108,"Focus Punch"
108,"Frustration"
108,"Headbutt"
108,"Heal Bell"
108,"Helping Hand"
108,"Hidden Power"
108,"Hydro Pump"
108,"Hyper Beam"
108,"Ice Beam"
108,"Ice Punch"
108,"Icy Wind"
108,"Iron Tail"
108,"Knock Off"
108,"Lick"
108,"Magnitude"
108,"Mega Kick"
108,"Mega Punch"
108,"Mimic"
108,"Muddy Water"
108,"Mud-Slap"
108,"Nightmare"
108,"Protect"
108,"Psych Up"
108,"Rage"
108,"Rain Dance"
108,"Refresh"
108,"Rest"
108,"Return"
108,"Rock Slide"
108,"Rock Smash"
108,"Rock Tomb"
108,"Rollout"
108,"Sandstorm"
108,"Screech"
108,"Secret Power"
108,"Seismic Toss"
108,"Shadow Ball"
108,"Shock Wave"
108,"Skull Bash"
108,"Slam"
108,"Sleep Talk"
108,"Smelling Salts"
108,"Snore"
108,"Solar Beam"
108,"Stomp"
108,"Strength"
108,"Submission"
108,"Substitute"
108,"Sunny Day"
108,"Supersonic"
108,"Surf"
108,"Swagger"
108,"Swords Dance"
108,"Take Down"
108,"Thief"
108,"Thrash"
108,"Thunder"
108,"Thunderbolt"
108,"Thunder Punch"
108,"Toxic"
108,"Water Gun"
108,"Water Pulse"
108,"Whirlpool"
108,"Wish"
108,"Wrap"
109,"Attract"
109,"Bide"
109,"Curse"
109,"Destiny Bond"
109,"Double Team"
109,"Endure"
109,"Explosion"
109,"Facade"
109,"Fire Blast"
109,"Flamethrower"
109,"Flash"
109,"Frustration"
109,"Grudge"
109,"Haze"
109,"Headbutt"
109,"Hidden Power"
109,"Memento"
109,"Mimic"
109,"Pain Split"
109,"Poison Gas"
109,"Protect"
109,"Psybeam"
109,"Psywave"
109,"Rage"
109,"Rain Dance"
109,"Rest"
109,"Return"
109,"Rollout"
109,"Screech"
109,"Secret Power"
109,"Self-Destruct"
109,"Shadow Ball"
109,"Shock Wave"
109,"Sleep Talk"
109,"Sludge"
109,"Sludge Bomb"
109,"Smog"
109,"Smokescreen"
109,"Snore"
109,"Spite"
109,"Spit Up"
109,"Stockpile"
109,"Substitute"
109,"Sunny Day"
109,"Swagger"
109,"Swallow"
109,"Tackle"
109,"Taunt"
109,"Thief"
109,"Thunder"
109,"Thunderbolt"
109,"Torment"
109,"Toxic"
109,"Uproar"
109,"Will-O-Wisp"
109,"Zap Cannon"
110,"Attract"
110,"Bide"
110,"Curse"
110,"Destiny Bond"
110,"Double Team"
110,"Endure"
110,"Explosion"
110,"Facade"
110,"Fire Blast"
110,"Flamethrower"
110,"Flash"
110,"Frustration"
110,"Haze"
110,"Headbutt"
110,"Heat Wave"
110,"Hidden Power"
110,"Hyper Beam"
110,"Memento"
110,"Mimic"
110,"Pain Split"
110,"Poison Gas"
110,"Protect"
110,"Psybeam"
110,"Rage"
110,"Rain Dance"
110,"Rest"
110,"Return"
110,"Rollout"
110,"Screech"
110,"Secret Power"
110,"Self-Destruct"
110,"Shadow Ball"
110,"Shock Wave"
110,"Sleep Talk"
110,"Sludge"
110,"Sludge Bomb"
110,"Smog"
110,"Smokescreen"
110,"Snore"
110,"Spite"
110,"Substitute"
110,"Sunny Day"
110,"Swagger"
110,"Tackle"
110,"Taunt"
110,"Thief"
110,"Thunder"
110,"Thunderbolt"
110,"Torment"
110,"Toxic"
110,"Uproar"
110,"Will-O-Wisp"
110,"Zap Cannon"
111,"Ancient Power"
111,"Attract"
111,"Bide"
111,"Blizzard"
111,"Body Slam"
111,"Counter"
111,"Crunch"
111,"Crush Claw"
111,"Curse"
111,"Dig"
111,"Double-Edge"
111,"Double Team"
111,"Earthquake"
111,"Endeavor"
111,"Endure"
111,"Facade"
111,"Fire Blast"
111,"Fissure"
111,"Flamethrower"
111,"Frustration"
111,"Fury Attack"
111,"Headbutt"
111,"Hidden Power"
111,"Horn Attack"
111,"Horn Drill"
111,"Ice Beam"
111,"Icy Wind"
111,"Iron Tail"
111,"Leer"
111,"Magnitude"
111,"Megahorn"
111,"Mimic"
111,"Mud Shot"
111,"Mud-Slap"
111,"Protect"
111,"Pursuit"
111,"Rage"
111,"Rain Dance"
111,"Rest"
111,"Return"
111,"Reversal"
111,"Roar"
111,"Rock Blast"
111,"Rock Slide"
111,"Rock Smash"
111,"Rock Throw"
111,"Rock Tomb"
111,"Rollout"
111,"Sand Attack"
111,"Sandstorm"
111,"Scary Face"
111,"Secret Power"
111,"Shock Wave"
111,"Skull Bash"
111,"Sleep Talk"
111,"Snore"
111,"Spite"
111,"Stomp"
111,"Strength"
111,"Substitute"
111,"Sunny Day"
111,"Superpower"
111,"Swagger"
111,"Swords Dance"
111,"Tackle"
111,"Tail Whip"
111,"Take Down"
111,"Thief"
111,"Thrash"
111,"Thunder"
111,"Thunderbolt"
111,"Toxic"
111,"Uproar"
111,"Zap Cannon"
112,"Ancient Power"
112,"Attract"
112,"Bide"
112,"Blizzard"
112,"Block"
112,"Body Slam"
112,"Brick Break"
112,"Bubble Beam"
112,"Counter"
112,"Crunch"
112,"Curse"
112,"Cut"
112,"Dig"
112,"Double-Edge"
112,"Double Team"
112,"Dynamic Punch"
112,"Earthquake"
112,"Endeavor"
112,"Endure"
112,"Facade"
112,"Fire Blast"
112,"Fire Punch"
112,"Fissure"
112,"Flamethrower"
112,"Focus Punch"
112,"Frustration"
112,"Fury Attack"
112,"Fury Cutter"
112,"Headbutt"
112,"Helping Hand"
112,"Hidden Power"
112,"Horn Attack"
112,"Horn Drill"
112,"Hydro Pump"
112,"Hyper Beam"
112,"Ice Beam"
112,"Ice Punch"
112,"Icy Wind"
112,"Iron Defense"
112,"Iron Tail"
112,"Leer"
112,"Megahorn"
112,"Mega Kick"
112,"Mega Punch"
112,"Mimic"
112,"Mud Shot"
112,"Mud-Slap"
112,"Outrage"
112,"Pay Day"
112,"Protect"
112,"Rage"
112,"Rain Dance"
112,"Rest"
112,"Return"
112,"Reversal"
112,"Roar"
112,"Rock Blast"
112,"Rock Slide"
112,"Rock Smash"
112,"Rock Throw"
112,"Rock Tomb"
112,"Rollout"
112,"Sand Attack"
112,"Sandstorm"
112,"Scary Face"
112,"Secret Power"
112,"Seismic Toss"
112,"Shock Wave"
112,"Skull Bash"
112,"Sleep Talk"
112,"Snore"
112,"Spite"
112,"Stomp"
112,"Strength"
112,"Submission"
112,"Substitute"
112,"Sunny Day"
112,"Superpower"
112,"Surf"
112,"Swagger"
112,"Swords Dance"
112,"Tackle"
112,"Tail Whip"
112,"Take Down"
112,"Thief"
112,"Thunder"
112,"Thunderbolt"
112,"Thunder Punch"
112,"Toxic"
112,"Uproar"
112,"Water Gun"
112,"Whirlpool"
112,"Zap Cannon"
113,"Aromatherapy"
113,"Attract"
113,"Bide"
113,"Blizzard"
113,"Body Slam"
113,"Brick Break"
113,"Bubble Beam"
113,"Calm Mind"
113,"Charm"
113,"Counter"
113,"Covet"
113,"Curse"
113,"Defense Curl"
113,"Double-Edge"
113,"Double Slap"
113,"Double Team"
113,"Dream Eater"
113,"Dynamic Punch"
113,"Earthquake"
113,"Egg Bomb"
113,"Endeavor"
113,"Endure"
113,"Facade"
113,"Fire Blast"
113,"Fire Punch"
113,"Flamethrower"
113,"Flash"
113,"Focus Punch"
113,"Frustration"
113,"Growl"
113,"Hail"
113,"Headbutt"
113,"Heal Bell"
113,"Helping Hand"
113,"Hidden Power"
113,"Hyper Beam"
113,"Hyper Voice"
113,"Ice Beam"
113,"Ice Punch"
113,"Icy Wind"
113,"Iron Tail"
113,"Light Screen"
113,"Mega Kick"
113,"Mega Punch"
113,"Metronome"
113,"Mimic"
113,"Minimize"
113,"Mud-Slap"
113,"Pound"
113,"Present"
113,"Protect"
113,"Psychic"
113,"Psych Up"
113,"Psywave"
113,"Rage"
113,"Rain Dance"
113,"Reflect"
113,"Refresh"
113,"Rest"
113,"Return"
113,"Rock Slide"
113,"Rock Smash"
113,"Rock Tomb"
113,"Rollout"
113,"Safeguard"
113,"Sandstorm"
113,"Secret Power"
113,"Seismic Toss"
113,"Shadow Ball"
113,"Shock Wave"
113,"Sing"
113,"Skill Swap"
113,"Skull Bash"
113,"Sleep Talk"
113,"Snatch"
113,"Snore"
113,"Soft-Boiled"
113,"Solar Beam"
113,"Strength"
113,"Submission"
113,"Substitute"
113,"Sunny Day"
113,"Swagger"
113,"Sweet Kiss"
113,"Sweet Scent"
113,"Tail Whip"
113,"Take Down"
113,"Teleport"
113,"Thunder"
113,"Thunderbolt"
113,"Thunder Punch"
113,"Thunder Wave"
113,"Toxic"
113,"Tri Attack"
113,"Uproar"
113,"Water Gun"
113,"Water Pulse"
113,"Wish"
113,"Zap Cannon"
114,"Absorb"
114,"Amnesia"
114,"Ancient Power"
114,"Attract"
114,"Bide"
114,"Bind"
114,"Body Slam"
114,"Bullet Seed"
114,"Confusion"
114,"Constrict"
114,"Curse"
114,"Cut"
114,"Double-Edge"
114,"Double Team"
114,"Endeavor"
114,"Endure"
114,"Facade"
114,"Flail"
114,"Flash"
114,"Frustration"
114,"Giga Drain"
114,"Growth"
114,"Headbutt"
114,"Hidden Power"
114,"Hyper Beam"
114,"Ingrain"
114,"Knock Off"
114,"Leech Seed"
114,"Mega Drain"
114,"Mimic"
114,"Morning Sun"
114,"Nature Power"
114,"Pain Split"
114,"Poison Powder"
114,"Protect"
114,"Psych Up"
114,"Rage"
114,"Reflect"
114,"Rest"
114,"Return"
114,"Rock Smash"
114,"Secret Power"
114,"Shock Wave"
114,"Skull Bash"
114,"Slam"
114,"Sleep Powder"
114,"Sleep Talk"
114,"Sludge Bomb"
114,"Snore"
114,"Solar Beam"
114,"Stun Spore"
114,"Substitute"
114,"Sunny Day"
114,"Swagger"
114,"Sweet Scent"
114,"Swords Dance"
114,"Synthesis"
114,"Take Down"
114,"Thief"
114,"Tickle"
114,"Toxic"
114,"Vine Whip"
115,"Aerial Ace"
115,"Attract"
115,"Beat Up"
115,"Bide"
115,"Bite"
115,"Blizzard"
115,"Body Slam"
115,"Brick Break"
115,"Bubble Beam"
115,"Comet Punch"
115,"Counter"
115,"Covet"
115,"Crunch"
115,"Crush Claw"
115,"Curse"
115,"Cut"
115,"Dig"
115,"Disable"
115,"Dizzy Punch"
115,"Double-Edge"
115,"Double Team"
115,"Dynamic Punch"
115,"Earthquake"
115,"Endeavor"
115,"Endure"
115,"Facade"
115,"Fake Out"
115,"Fire Blast"
115,"Fire Punch"
115,"Fissure"
115,"Flamethrower"
115,"Focus Energy"
115,"Focus Punch"
115,"Foresight"
115,"Frustration"
115,"Fury Cutter"
115,"Growl"
115,"Hail"
115,"Headbutt"
115,"Helping Hand"
115,"Hidden Power"
115,"Hydro Pump"
115,"Hyper Beam"
115,"Ice Beam"
115,"Ice Punch"
115,"Icy Wind"
115,"Iron Tail"
115,"Leer"
115,"Low Kick"
115,"Mega Kick"
115,"Mega Punch"
115,"Mimic"
115,"Mud-Slap"
115,"Outrage"
115,"Pound"
115,"Protect"
115,"Rage"
115,"Rain Dance"
115,"Rest"
115,"Return"
115,"Reversal"
115,"Roar"
115,"Rock Slide"
115,"Rock Smash"
115,"Rock Tomb"
115,"Safeguard"
115,"Sandstorm"
115,"Secret Power"
115,"Seismic Toss"
115,"Shadow Ball"
115,"Shock Wave"
115,"Sing"
115,"Skull Bash"
115,"Sleep Talk"
115,"Snore"
115,"Solar Beam"
115,"Spite"
115,"Stomp"
115,"Strength"
115,"Submission"
115,"Substitute"
115,"Sunny Day"
115,"Surf"
115,"Swagger"
115,"Tail Whip"
115,"Take Down"
115,"Thief"
115,"Thunder"
115,"Thunderbolt"
115,"Thunder Punch"
115,"Toxic"
115,"Uproar"
115,"Water Gun"
115,"Water Pulse"
115,"Whirlpool"
115,"Wish"
115,"Yawn"
115,"Zap Cannon"
116,"Agility"
116,"Attract"
116,"Bide"
116,"Blizzard"
116,"Bounce"
116,"Bubble"
116,"Bubble Beam"
116,"Curse"
116,"Disable"
116,"Dive"
116,"Double-Edge"
116,"Double Team"
116,"Dragon Breath"
116,"Dragon Dance"
116,"Dragon Rage"
116,"Endure"
116,"Facade"
116,"Flail"
116,"Focus Energy"
116,"Frustration"
116,"Hail"
