NDex#,Level,Move
368,15,"Agility"
368,22,"Water Pulse"
368,29,"Amnesia"
368,36,"Psychic"
368,43,"Baton Pass"
368,50,"Hydro Pump"
210,1,"Tackle"
210,1,"Scary Face"
210,4,"Tail Whip"
210,8,"Charm"
210,13,"Bite"
210,19,"Lick"
210,28,"Roar"
210,38,"Rage"
210,49,"Take Down"
210,61,"Crunch"
75,1,"Tackle"
75,1,"Defense Curl"
75,1,"Mud Sport"
75,1,"Rock Throw"
75,6,"Mud Sport"
75,11,"Rock Throw"
75,16,"Magnitude"
75,21,"Selfdestruct"
75,29,"Rollout"
75,37,"Rock Blast"
75,45,"Earthquake"
75,53,"Explosion"
75,62,"Double-Edge"
88,1,"Poison Gas"
88,1,"Pound"
88,4,"Harden"
88,8,"Disable"
88,13,"Sludge"
88,19,"Minimize"
88,26,"Screech"
88,34,"Acid Armor"
88,43,"Sludge Bomb"
88,53,"Memento"
383,1,"Mud Shot"
383,5,"Scary Face"
383,15,"AncientPower"
383,20,"Slash"
383,30,"Bulk Up"
383,35,"Earthquake"
383,45,"Fire Blast"
383,50,"Rest"
383,60,"Fissure"
383,65,"SolarBeam"
383,75,"Eruption"
253,1,"Pound"
253,1,"Leer"
253,1,"Absorb"
253,1,"Quick Attack"
253,6,"Absorb"
253,11,"Quick Attack"
253,16,"Fury Cutter"
253,17,"Pursuit"
253,23,"Screech"
253,29,"Leaf Blade"
253,35,"Agility"
253,41,"Slam"
253,47,"Detect"
253,53,"False Swipe"
58,1,"Bite"
58,1,"Roar"
58,7,"Ember"
58,13,"Leer"
58,19,"Odor Sleuth"
58,25,"Take Down"
58,31,"Flame Wheel"
58,37,"Helping Hand"
58,43,"Agility"
58,49,"Flamethrower"
326,1,"Splash"
326,1,"Psywave"
326,1,"Odor Sleuth"
326,1,"Psybeam"
326,7,"Psywave"
326,10,"Odor Sleuth"
326,16,"Psybeam"
326,19,"Psych Up"
326,25,"Confuse Ray"
326,28,"Magic Coat"
326,37,"Psychic"
326,43,"Rest"
326,43,"Snore"
326,55,"Bounce"
316,1,"Pound"
316,6,"Yawn"
316,9,"Poison Gas"
316,14,"Sludge"
316,17,"Amnesia"
316,23,"Encore"
316,28,"Toxic"
316,34,"Stockpile"
316,34,"Spit Up"
316,34,"Swallow"
316,39,"Sludge Bomb"
130,1,"Thrash"
130,20,"Bite"
130,25,"Dragon Rage"
130,30,"Leer"
130,35,"Twister"
130,40,"Hydro Pump"
130,45,"Rain Dance"
130,50,"Dragon Dance"
130,55,"Hyper Beam"
297,1,"Tackle"
297,1,"Focus Energy"
297,1,"Sand-Attack"
297,1,"Arm Thrust"
297,4,"Sand-Attack"
297,10,"Arm Thrust"
297,13,"Vital Throw"
297,19,"Fake Out"
297,22,"Whirlwind"
297,29,"Knock Off"
297,33,"SmellingSalt"
297,40,"Belly Drum"
297,44,"Endure"
297,51,"Seismic Toss"
297,55,"Reversal"
93,1,"Hypnosis"
93,1,"Lick"
93,1,"Spite"
93,8,"Spite"
93,13,"Mean Look"
93,16,"Curse"
93,21,"Night Shade"
93,25,"Shadow Punch"
93,31,"Confuse Ray"
93,39,"Dream Eater"
93,48,"Destiny Bond"
214,1,"Tackle"
214,1,"Leer"
214,6,"Horn Attack"
214,11,"Endure"
214,17,"Fury Attack"
214,23,"Brick Break"
214,30,"Counter"
214,37,"Take Down"
214,45,"Reversal"
214,53,"Megahorn"
107,1,"Comet Punch"
107,1,"Revenge"
107,7,"Agility"
107,13,"Pursuit"
107,20,"Mach Punch"
107,26,"ThunderPunch"
107,26,"Ice Punch"
107,26,"Fire Punch"
107,32,"Sky Uppercut"
107,38,"Mega Punch"
107,44,"Detect"
107,50,"Counter"
106,1,"Double Kick"
106,1,"Revenge"
106,6,"Meditate"
106,11,"Rolling Kick"
106,16,"Jump Kick"
106,20,"Brick Break"
106,21,"Focus Energy"
106,26,"Hi Jump Kick"
106,31,"Mind Reader"
106,36,"Foresight"
106,41,"Endure"
106,46,"Mega Kick"
106,51,"Reversal"
237,1,"Rolling Kick"
237,1,"Revenge"
237,7,"Focus Energy"
237,13,"Pursuit"
237,19,"Quick Attack"
237,20,"Triple Kick"
237,25,"Rapid Spin"
237,31,"Counter"
237,37,"Agility"
237,43,"Detect"
237,49,"Endeavor"
250,1,"Whirlwind"
250,11,"Safeguard"
250,22,"Gust"
250,33,"Recover"
250,44,"Fire Blast"
250,55,"Sunny Day"
250,66,"Swift"
250,77,"Sacred Fire"
250,88,"AncientPower"
250,99,"Future Sight"
163,1,"Tackle"
163,1,"Growl"
163,6,"Foresight"
163,11,"Peck"
163,16,"Hypnosis"
163,22,"Reflect"
163,28,"Take Down"
163,34,"Confusion"
163,48,"Dream Eater"
187,1,"Splash"
187,5,"Synthesis"
187,5,"Tail Whip"
187,10,"Tackle"
187,13,"PoisonPowder"
187,15,"Stun Spore"
187,17,"Sleep Powder"
187,20,"Leech Seed"
187,25,"Cotton Spore"
187,30,"Mega Drain"
116,1,"Bubble"
116,8,"SmokeScreen"
116,15,"Leer"
116,22,"Water Gun"
116,29,"Twister"
116,36,"Agility"
116,43,"Hydro Pump"
116,50,"Dragon Dance"
229,1,"Leer"
229,1,"Ember"
229,1,"Howl"
229,7,"Howl"
229,13,"Smog"
229,19,"Roar"
229,27,"Bite"
229,35,"Odor Sleuth"
229,43,"Faint Attack"
229,51,"Flamethrower"
229,59,"Crunch"
228,1,"Leer"
228,1,"Ember"
228,7,"Howl"
228,13,"Smog"
228,19,"Roar"
228,25,"Bite"
228,31,"Odor Sleuth"
228,37,"Faint Attack"
228,43,"Flamethrower"
228,49,"Crunch"
367,1,"Whirlpool"
367,8,"Bite"
367,15,"Screech"
367,22,"Water Pulse"
367,29,"Scary Face"
367,36,"Crunch"
367,43,"Baton Pass"
367,50,"Hydro Pump"
97,1,"Pound"
97,1,"Hypnosis"
97,1,"Disable"
97,1,"Confusion"
97,10,"Disable"
97,18,"Confusion"
97,25,"Headbutt"
97,33,"Poison Gas"
97,40,"Meditate"
97,49,"Psychic"
97,55,"Psych Up"
97,60,"Future Sight"
174,1,"Sing"
174,1,"Charm"
174,4,"Defense Curl"
174,9,"Pound"
174,14,"Sweet Kiss"
314,1,"Tackle"
314,5,"Sweet Scent"
314,9,"Charm"
314,13,"Moonlight"
314,17,"Quick Attack"
314,21,"Wish"
314,25,"Encore"
314,29,"Flatter"
314,33,"Helping Hand"
314,37,"Covet"
2,1,"Tackle"
2,1,"Growl"
2,1,"Leech Seed"
2,4,"Growl"
2,7,"Leech Seed"
2,10,"Vine Whip"
2,15,"PoisonPowder"
2,15,"Sleep Powder"
2,22,"Razor Leaf"
2,29,"Sweet Scent"
2,38,"Growth"
2,47,"Synthesis"
2,56,"SolarBeam"
39,1,"Sing"
39,4,"Defense Curl"
39,9,"Pound"
39,14,"Disable"
39,19,"Rollout"
39,24,"DoubleSlap"
39,29,"Rest"
39,34,"Body Slam"
39,39,"Mimic"
39,44,"Hyper Voice"
39,49,"Double-Edge"
385,1,"Wish"
385,1,"Confusion"
385,5,"Rest"
385,10,"Swift"
385,15,"Helping Hand"
385,20,"Psychic"
385,25,"Refresh"
385,30,"Rest"
385,35,"Double-Edge"
385,40,"Future Sight"
385,45,"Cosmic Power"
385,50,"Doom Desire"
135,1,"Tackle"
135,1,"Tail Whip"
135,1,"Helping Hand"
135,8,"Sand-Attack"
135,16,"ThunderShock"
135,23,"Quick Attack"
135,30,"Double Kick"
135,36,"Pin Missile"
135,42,"Thunder Wave"
135,47,"Agility"
135,52,"Thunder"
189,1,"Splash"
189,1,"Synthesis"
189,1,"Tail Whip"
189,1,"Tackle"
189,5,"Synthesis"
189,5,"Tail Whip"
189,10,"Tackle"
189,13,"PoisonPowder"
189,15,"Stun Spore"
189,17,"Sleep Powder"
189,22,"Leech Seed"
189,33,"Cotton Spore"
189,44,"Mega Drain"
124,1,"Pound"
124,1,"Lick"
124,1,"Lovely Kiss"
124,1,"Powder Snow"
124,9,"Lovely Kiss"
124,13,"Powder Snow"
124,21,"DoubleSlap"
124,25,"Ice Punch"
124,35,"Mean Look"
124,41,"Fake Tears"
124,51,"Body Slam"
124,57,"Perish Song"
124,67,"Blizzard"
140,1,"Scratch"
140,1,"Harden"
140,13,"Absorb"
140,19,"Leer"
140,25,"Mud Shot"
140,31,"Sand-Attack"
140,37,"Endure"
140,43,"Metal Sound"
140,49,"Mega Drain"
140,55,"AncientPower"
141,1,"Scratch"
141,1,"Harden"
141,1,"Absorb"
141,13,"Absorb"
141,19,"Leer"
141,25,"Mud Shot"
141,31,"Sand-Attack"
141,37,"Endure"
141,40,"Slash"
141,46,"Metal Sound"
141,55,"Mega Drain"
141,65,"AncientPower"
64,1,"Teleport"
64,1,"Kinesis"
64,1,"Confusion"
64,16,"Confusion"
64,18,"Disable"
64,21,"Psybeam"
64,23,"Reflect"
64,25,"Recover"
64,30,"Future Sight"
64,33,"Role Play"
64,36,"Psychic"
64,43,"Trick"
14,1,"Harden"
14,7,"Harden"
115,1,"Comet Punch"
115,1,"Leer"
115,7,"Bite"
115,13,"Tail Whip"
115,19,"Fake Out"
115,25,"Mega Punch"
115,31,"Rage"
115,37,"Endure"
115,43,"Dizzy Punch"
115,49,"Reversal"
352,1,"Thief"
352,1,"Scratch"
352,1,"Tail Whip"
352,1,"Astonish"
352,1,"Lick"
352,4,"Bind"
352,7,"Faint Attack"
352,12,"Fury Swipes"
352,17,"Psybeam"
352,24,"Screech"
352,31,"Slash"
352,40,"Substitute"
352,49,"AncientPower"
230,1,"Bubble"
230,1,"SmokeScreen"
230,1,"Leer"
230,1,"Water Gun"
230,8,"SmokeScreen"
230,15,"Leer"
230,22,"Water Gun"
230,29,"Twister"
230,40,"Agility"
230,51,"Hydro Pump"
230,62,"Dragon Dance"
99,1,"Bubble"
99,1,"Leer"
99,1,"ViceGrip"
99,5,"Leer"
99,12,"ViceGrip"
99,16,"Harden"
99,23,"Mud Shot"
99,27,"Stomp"
99,38,"Guillotine"
99,49,"Protect"
99,57,"Crabhammer"
281,1,"Growl"
281,1,"Confusion"
281,1,"Double Team"
281,1,"Teleport"
281,6,"Confusion"
281,11,"Double Team"
281,16,"Teleport"
281,21,"Calm Mind"
281,26,"Psychic"
281,33,"Imprison"
281,40,"Future Sight"
281,47,"Hypnosis"
281,54,"Dream Eater"
109,1,"Poison Gas"
109,1,"Tackle"
109,9,"Smog"
109,17,"Selfdestruct"
109,21,"Sludge"
109,25,"SmokeScreen"
109,33,"Haze"
109,41,"Explosion"
109,45,"Destiny Bond"
109,49,"Memento"
98,1,"Bubble"
98,5,"Leer"
98,12,"ViceGrip"
98,16,"Harden"
98,23,"Mud Shot"
98,27,"Stomp"
98,34,"Guillotine"
98,41,"Protect"
98,45,"Crabhammer"
382,1,"Water Pulse"
382,5,"Scary Face"
382,15,"AncientPower"
382,20,"Body Slam"
382,30,"Calm Mind"
382,35,"Ice Beam"
382,45,"Hydro Pump"
382,50,"Rest"
382,60,"Sheer Cold"
382,65,"Double-Edge"
382,75,"Water Spout"
305,1,"Tackle"
305,1,"Harden"
305,1,"Mud-Slap"
305,1,"Headbutt"
305,4,"Harden"
305,7,"Mud-Slap"
305,10,"Headbutt"
305,13,"Metal Claw"
305,17,"Iron Defense"
305,21,"Roar"
305,25,"Take Down"
305,29,"Iron Tail"
305,37,"Protect"
305,45,"Metal Sound"
305,53,"Double-Edge"
171,1,"Bubble"
171,1,"Thunder Wave"
171,1,"Supersonic"
171,5,"Supersonic"
171,13,"Flail"
171,17,"Water Gun"
171,25,"Spark"
171,32,"Confuse Ray"
171,43,"Take Down"
171,50,"Hydro Pump"
171,61,"Charge"
131,1,"Water Gun"
131,1,"Growl"
131,1,"Sing"
131,7,"Mist"
131,13,"Body Slam"
131,19,"Confuse Ray"
131,25,"Perish Song"
131,31,"Ice Beam"
131,37,"Rain Dance"
131,43,"Safeguard"
131,49,"Hydro Pump"
131,55,"Sheer Cold"
246,1,"Bite"
246,1,"Leer"
246,8,"Sandstorm"
246,15,"Screech"
246,22,"Rock Slide"
246,29,"Thrash"
246,36,"Scary Face"
246,43,"Crunch"
246,50,"Earthquake"
246,57,"Hyper Beam"
380,1,"Psywave"
380,5,"Wish"
380,10,"Helping Hand"
380,15,"Safeguard"
380,20,"DragonBreath"
380,25,"Water Sport"
380,30,"Refresh"
380,35,"Mist Ball"
380,40,"Psychic"
380,45,"Recover"
380,50,"Charm"
381,1,"Psywave"
381,5,"Memento"
381,10,"Helping Hand"
381,15,"Safeguard"
381,20,"DragonBreath"
381,25,"Protect"
381,30,"Refresh"
381,35,"Luster Purge"
381,40,"Psychic"
381,45,"Recover"
381,50,"Dragon Dance"
166,1,"Tackle"
166,1,"Supersonic"
166,8,"Supersonic"
166,15,"Comet Punch"
166,24,"Light Screen"
166,24,"Reflect"
166,24,"Safeguard"
166,33,"Baton Pass"
166,42,"Swift"
166,51,"Agility"
166,60,"Double-Edge"
165,1,"Tackle"
165,8,"Supersonic"
165,15,"Comet Punch"
165,22,"Light Screen"
165,22,"Reflect"
165,22,"Safeguard"
165,29,"Baton Pass"
165,36,"Swift"
165,43,"Agility"
165,50,"Double-Edge"
108,1,"Lick"
108,7,"Supersonic"
108,12,"Defense Curl"
108,18,"Knock Off"
108,23,"Stomp"
108,29,"Wrap"
108,34,"Disable"
108,40,"Slam"
108,45,"Screech"
108,51,"Refresh"
345,1,"Astonish"
345,8,"Constrict"
345,15,"Acid"
345,22,"Ingrain"
345,29,"Confuse Ray"
345,36,"Amnesia"
345,43,"AncientPower"
345,50,"Stockpile"
345,50,"Swallow"
345,50,"Spit Up"
264,1,"Tackle"
264,1,"Growl"
264,1,"Tail Whip"
264,1,"Headbutt"
264,5,"Tail Whip"
264,9,"Headbutt"
264,13,"Sand-Attack"
264,17,"Odor Sleuth"
264,23,"Mud Sport"
264,29,"Fury Swipes"
264,35,"Covet"
264,41,"Slash"
264,47,"Rest"
264,53,"Belly Drum"
271,1,"Astonish"
271,3,"Growl"
271,7,"Absorb"
271,13,"Nature Power"
271,19,"Fake Out"
271,25,"Fury Swipes"
271,31,"Water Sport"
271,37,"Thief"
271,43,"Uproar"
271,49,"Hydro Pump"
270,1,"Astonish"
270,3,"Growl"
270,7,"Absorb"
270,13,"Nature Power"
270,21,"Mist"
270,31,"Rain Dance"
270,43,"Mega Drain"
294,1,"Pound"
294,1,"Uproar"
294,1,"Astonish"
294,1,"Howl"
294,5,"Uproar"
294,11,"Astonish"
294,15,"Howl"
294,23,"Supersonic"
294,29,"Stomp"
294,37,"Screech"
294,43,"Roar"
294,51,"Rest"
294,51,"Sleep Talk"
294,57,"Hyper Voice"
272,1,"Astonish"
272,1,"Growl"
272,1,"Absorb"
272,1,"Nature Power"
249,1,"Whirlwind"
249,11,"Safeguard"
249,22,"Gust"
249,33,"Recover"
249,44,"Hydro Pump"
249,55,"Rain Dance"
249,66,"Swift"
249,77,"Aeroblast"
249,88,"AncientPower"
249,99,"Future Sight"
337,1,"Tackle"
337,1,"Harden"
337,7,"Confusion"
337,13,"Rock Throw"
337,19,"Hypnosis"
337,25,"Psywave"
337,31,"Cosmic Power"
337,37,"Psychic"
337,43,"Future Sight"
337,49,"Explosion"
370,1,"Tackle"
370,4,"Charm"
370,12,"Water Gun"
370,16,"Agility"
370,24,"Take Down"
370,28,"Attract"
370,36,"Sweet Kiss"
370,40,"Flail"
370,48,"Safeguard"
68,1,"Low Kick"
68,1,"Leer"
68,1,"Focus Energy"
68,7,"Focus Energy"
68,13,"Karate Chop"
68,19,"Seismic Toss"
68,22,"Foresight"
68,25,"Revenge"
68,33,"Vital Throw"
68,41,"Submission"
68,46,"Cross Chop"
68,51,"Scary Face"
68,59,"DynamicPunch"
67,1,"Low Kick"
67,1,"Leer"
67,1,"Focus Energy"
67,7,"Focus Energy"
67,13,"Karate Chop"
67,19,"Seismic Toss"
67,22,"Foresight"
67,25,"Revenge"
67,33,"Vital Throw"
67,41,"Submission"
67,46,"Cross Chop"
67,51,"Scary Face"
67,59,"DynamicPunch"
66,1,"Low Kick"
66,1,"Leer"
66,7,"Focus Energy"
66,13,"Karate Chop"
66,19,"Seismic Toss"
66,22,"Foresight"
66,25,"Revenge"
66,31,"Vital Throw"
66,37,"Submission"
66,40,"Cross Chop"
66,43,"Scary Face"
66,49,"DynamicPunch"
240,1,"Ember"
240,7,"Leer"
240,13,"Smog"
240,19,"Fire Punch"
240,25,"SmokeScreen"
240,31,"Sunny Day"
240,37,"Flamethrower"
240,43,"Confuse Ray"
240,49,"Fire Blast"
219,1,"Smog"
219,1,"Yawn"
219,1,"Ember"
219,1,"Rock Throw"
219,8,"Ember"
219,15,"Rock Throw"
219,22,"Harden"
219,29,"Amnesia"
219,36,"Flamethrower"
219,48,"Rock Slide"
219,60,"Body Slam"
129,1,"Splash"
129,15,"Tackle"
129,30,"Flail"
126,1,"Ember"
126,1,"Leer"
126,1,"Smog"
126,1,"Fire Punch"
126,7,"Leer"
126,13,"Smog"
126,19,"Fire Punch"
126,25,"SmokeScreen"
126,33,"Sunny Day"
126,41,"Flamethrower"
126,49,"Confuse Ray"
126,57,"Fire Blast"
81,1,"Tackle"
81,1,"Metal Sound"
81,6,"ThunderShock"
81,11,"Supersonic"
81,16,"SonicBoom"
81,21,"Thunder Wave"
81,26,"Spark"
81,32,"Lock-On"
81,38,"Swift"
81,44,"Screech"
81,50,"Zap Cannon"
82,1,"Tackle"
82,1,"Metal Sound"
82,1,"ThunderShock"
82,1,"Supersonic"
82,6,"ThunderShock"
82,11,"Supersonic"
82,16,"SonicBoom"
82,21,"Thunder Wave"
82,26,"Spark"
82,35,"Lock-On"
82,44,"Tri Attack"
82,53,"Screech"
82,62,"Zap Cannon"
296,1,"Tackle"
296,1,"Focus Energy"
296,4,"Sand-Attack"
296,10,"Arm Thrust"
296,13,"Vital Throw"
296,19,"Fake Out"
296,22,"Whirlwind"
296,28,"Knock Off"
296,31,"SmellingSalt"
296,37,"Belly Drum"
296,40,"Endure"
296,46,"Seismic Toss"
296,49,"Reversal"
310,1,"Tackle"
310,1,"Thunder Wave"
310,1,"Leer"
310,1,"Howl"
310,4,"Thunder Wave"
310,9,"Leer"
310,12,"Howl"
310,17,"Quick Attack"
310,20,"Spark"
310,25,"Odor Sleuth"
310,31,"Roar"
310,39,"Bite"
310,45,"Thunder"
310,53,"Charge"
56,1,"Scratch"
56,1,"Leer"
56,9,"Low Kick"
56,15,"Karate Chop"
56,21,"Fury Swipes"
56,27,"Focus Energy"
56,33,"Seismic Toss"
56,39,"Cross Chop"
56,45,"Screech"
56,51,"Thrash"
226,1,"Tackle"
226,1,"Bubble"
226,8,"Supersonic"
226,15,"BubbleBeam"
226,22,"Take Down"
226,29,"Agility"
226,36,"Wing Attack"
226,43,"Water Pulse"
226,50,"Confuse Ray"
179,1,"Tackle"
179,1,"Growl"
179,9,"ThunderShock"
179,16,"Thunder Wave"
179,23,"Cotton Spore"
179,30,"Light Screen"
179,37,"Thunder"
183,1,"Tackle"
183,3,"Defense Curl"
183,6,"Tail Whip"
183,10,"Water Gun"
183,15,"Rollout"
183,21,"BubbleBeam"
183,28,"Double-Edge"
183,36,"Rain Dance"
183,45,"Hydro Pump"
105,1,"Growl"
105,1,"Tail Whip"
105,1,"Bone Club"
105,1,"Headbutt"
105,5,"Tail Whip"
105,9,"Bone Club"
105,13,"Headbutt"
105,17,"Leer"
105,21,"Focus Energy"
105,25,"Bonemerang"
105,32,"Rage"
105,39,"False Swipe"
105,46,"Thrash"
105,53,"Bone Rush"
105,61,"Double-Edge"
259,1,"Tackle"
259,1,"Growl"
259,1,"Mud-Slap"
259,1,"Water Gun"
259,6,"Mud-Slap"
259,10,"Water Gun"
259,15,"Bide"
259,16,"Mud Shot"
259,20,"Foresight"
259,25,"Mud Sport"
259,31,"Take Down"
259,37,"Muddy Water"
259,42,"Protect"
259,46,"Earthquake"
259,53,"Endeavor"
284,1,"Bubble"
284,1,"Quick Attack"
284,1,"Sweet Scent"
284,1,"Water Sport"
284,7,"Quick Attack"
284,13,"Sweet Scent"
284,19,"Water Sport"
284,26,"Gust"
284,33,"Scary Face"
284,40,"Stun Spore"
284,47,"Silver Wind"
284,53,"Whirlwind"
303,1,"Astonish"
303,6,"Fake Tears"
303,11,"Bite"
303,16,"Sweet Scent"
303,21,"ViceGrip"
303,26,"Faint Attack"
303,31,"Baton Pass"
303,36,"Crunch"
303,41,"Iron Defense"
303,46,"Stockpile"
303,46,"Swallow"
303,46,"Spit Up"
308,1,"Fire Punch"
308,1,"Ice Punch"
308,1,"ThunderPunch"
308,1,"Bide"
308,1,"Meditate"
308,1,"Confusion"
308,1,"Detect"
308,4,"Meditate"
308,9,"Confusion"
308,12,"Detect"
308,18,"Hidden Power"
308,22,"Mind Reader"
308,28,"Calm Mind"
308,32,"Hi Jump Kick"
308,40,"Psych Up"
308,46,"Reversal"
308,54,"Recover"
307,1,"Bide"
307,4,"Meditate"
307,9,"Confusion"
307,12,"Detect"
307,18,"Hidden Power"
307,22,"Mind Reader"
307,28,"Calm Mind"
307,32,"Hi Jump Kick"
307,38,"Psych Up"
307,42,"Reversal"
307,48,"Recover"
154,1,"Tackle"
154,1,"Growl"
154,1,"Razor Leaf"
154,1,"Reflect"
154,8,"Razor Leaf"
154,12,"Reflect"
154,15,"PoisonPowder"
154,23,"Synthesis"
154,31,"Body Slam"
154,41,"Light Screen"
154,51,"Safeguard"
154,61,"SolarBeam"
52,1,"Scratch"
52,1,"Growl"
52,11,"Bite"
52,20,"Pay Day"
52,28,"Faint Attack"
52,35,"Screech"
52,41,"Fury Swipes"
52,46,"Slash"
52,50,"Fake Out"
376,1,"Take Down"
376,1,"Confusion"
376,1,"Metal Claw"
376,1,"Scary Face"
376,20,"Confusion"
376,20,"Metal Claw"
376,26,"Scary Face"
376,32,"Pursuit"
376,38,"Psychic"
376,44,"Iron Defense"
376,55,"Meteor Mash"
376,66,"Agility"
376,77,"Hyper Beam"
375,1,"Take Down"
375,20,"Confusion"
375,20,"Metal Claw"
375,26,"Scary Face"
375,32,"Pursuit"
375,38,"Psychic"
375,44,"Iron Defense"
375,50,"Meteor Mash"
375,56,"Agility"
375,62,"Hyper Beam"
11,1,"Harden"
11,7,"Harden"
151,1,"Pound"
151,10,"Transform"
151,20,"Mega Punch"
151,30,"Metronome"
151,40,"Psychic"
151,50,"AncientPower"
150,1,"Confusion"
150,1,"Disable"
150,11,"Barrier"
150,22,"Swift"
150,33,"Psych Up"
150,44,"Future Sight"
150,55,"Mist"
150,66,"Psychic"
150,77,"Amnesia"
150,88,"Recover"
150,99,"Safeguard"
262,1,"Tackle"
262,1,"Howl"
262,1,"Sand-Attack"
262,1,"Bite"
262,5,"Howl"
262,9,"Sand-Attack"
262,13,"Bite"
262,17,"Odor Sleuth"
262,22,"Roar"
262,27,"Swagger"
262,32,"Scary Face"
262,37,"Take Down"
262,42,"Taunt"
262,47,"Crunch"
262,52,"Thief"
350,1,"Water Gun"
350,5,"Wrap"
350,10,"Water Sport"
350,15,"Refresh"
350,20,"Water Pulse"
350,25,"Twister"
350,30,"Recover"
350,35,"Rain Dance"
350,40,"Hydro Pump"
350,45,"Attract"
350,50,"Safeguard"
241,1,"Tackle"
241,4,"Growl"
241,8,"Defense Curl"
241,13,"Stomp"
241,19,"Milk Drink"
241,26,"Bide"
241,34,"Rollout"
241,43,"Body Slam"
241,53,"Heal Bell"
312,1,"Growl"
312,4,"Thunder Wave"
312,10,"Quick Attack"
312,13,"Helping Hand"
312,19,"Spark"
312,22,"Encore"
312,28,"Charm"
312,31,"Charge"
312,37,"Thunder"
312,40,"Baton Pass"
312,47,"Agility"
200,1,"Growl"
200,1,"Psywave"
200,6,"Spite"
200,11,"Astonish"
200,17,"Confuse Ray"
200,23,"Mean Look"
200,30,"Psybeam"
200,37,"Pain Split"
200,45,"Perish Song"
200,53,"Grudge"
146,1,"Wing Attack"
146,1,"Ember"
146,13,"Fire Spin"
146,25,"Agility"
146,37,"Endure"
146,49,"Flamethrower"
146,61,"Safeguard"
146,73,"Heat Wave"
146,85,"Sky Attack"
122,1,"Barrier"
122,5,"Confusion"
122,9,"Substitute"
122,13,"Meditate"
122,17,"DoubleSlap"
122,21,"Light Screen"
122,21,"Reflect"
122,25,"Encore"
122,29,"Psybeam"
122,33,"Recycle"
122,37,"Trick"
122,41,"Role Play"
122,45,"Psychic"
122,49,"Baton Pass"
122,53,"Safeguard"
258,1,"Tackle"
258,1,"Growl"
258,6,"Mud-Slap"
258,10,"Water Gun"
258,15,"Bide"
258,19,"Foresight"
258,24,"Mud Sport"
258,28,"Take Down"
258,33,"Whirlpool"
258,37,"Protect"
258,42,"Hydro Pump"
258,46,"Endeavor"
89,1,"Poison Gas"
89,1,"Pound"
89,1,"Harden"
89,4,"Harden"
89,8,"Disable"
89,13,"Sludge"
89,19,"Minimize"
89,26,"Screech"
89,34,"Acid Armor"
89,47,"Sludge Bomb"
89,61,"Memento"
198,1,"Peck"
198,9,"Astonish"
198,14,"Pursuit"
198,22,"Haze"
198,27,"Night Shade"
198,35,"Faint Attack"
198,40,"Taunt"
198,48,"Mean Look"
177,1,"Peck"
177,1,"Leer"
177,10,"Night Shade"
177,20,"Teleport"
177,30,"Wish"
177,30,"Future Sight"
177,40,"Confuse Ray"
177,50,"Psychic"
34,1,"Peck"
34,1,"Focus Energy"
34,1,"Double Kick"
34,1,"Poison Sting"
34,23,"Thrash"
31,1,"Scratch"
31,1,"Tail Whip"
31,1,"Double Kick"
31,1,"Poison Sting"
31,23,"Body Slam"
29,1,"Growl"
29,1,"Scratch"
29,8,"Tail Whip"
29,12,"Double Kick"
29,17,"Poison Sting"
29,20,"Bite"
29,23,"Helping Hand"
29,30,"Fury Swipes"
29,38,"Flatter"
29,47,"Crunch"
32,1,"Leer"
32,1,"Peck"
32,8,"Focus Energy"
32,12,"Double Kick"
32,17,"Poison Sting"
32,20,"Horn Attack"
32,23,"Helping Hand"
32,30,"Fury Attack"
32,38,"Flatter"
32,47,"Horn Drill"
30,1,"Growl"
30,1,"Scratch"
30,8,"Tail Whip"
30,12,"Double Kick"
30,18,"Poison Sting"
30,22,"Bite"
30,26,"Helping Hand"
30,34,"Fury Swipes"
30,43,"Flatter"
30,53,"Crunch"
33,1,"Leer"
33,1,"Peck"
33,8,"Focus Energy"
33,12,"Double Kick"
33,18,"Poison Sting"
33,22,"Horn Attack"
33,26,"Helping Hand"
33,34,"Fury Attack"
33,43,"Flatter"
33,53,"Horn Drill"
290,1,"Scratch"
290,1,"Harden"
290,5,"Leech Life"
290,9,"Sand-Attack"
290,14,"Fury Swipes"
290,19,"Mind Reader"
290,25,"False Swipe"
290,31,"Mud-Slap"
290,38,"Metal Claw"
290,45,"Dig"
38,1,"Ember"
38,1,"Quick Attack"
38,1,"Confuse Ray"
38,1,"Safeguard"
38,45,"Fire Spin"
291,1,"Scratch"
291,1,"Harden"
291,1,"Leech Life"
291,1,"Sand-Attack"
291,5,"Leech Life"
291,9,"Sand-Attack"
291,14,"Fury Swipes"
291,19,"Mind Reader"
291,20,"Double Team"
291,20,"Fury Cutter"
291,20,"Screech"
291,25,"Swords Dance"
291,31,"Slash"
291,38,"Agility"
291,45,"Baton Pass"
164,1,"Tackle"
164,1,"Growl"
164,1,"Foresight"
164,1,"Peck"
164,6,"Foresight"
164,11,"Peck"
164,16,"Hypnosis"
164,25,"Reflect"
164,33,"Take Down"
164,41,"Confusion"
164,57,"Dream Eater"
299,1,"Tackle"
299,7,"Harden"
299,13,"Rock Throw"
299,16,"Block"
299,22,"Thunder Wave"
299,28,"Rock Slide"
299,31,"Sandstorm"
299,37,"Rest"
299,43,"Zap Cannon"
299,46,"Lock-On"
322,1,"Growl"
322,1,"Tackle"
322,11,"Ember"
