Location,NDex#,Method,MinLevel,MaxLevel,EncounterRate
"Mt. Pyre",353,"Grass",24,30,85
"Mt. Pyre",355,"Grass",26,30,13
"Mt. Pyre",358,"Grass",28,28,2
"New Mauville",81,"Entrance",22,26,50
"New Mauville",100,"Entrance",22,26,50
"New Mauville",81,"Basement",22,26,49
"New Mauville",82,"Basement",26,26,1
"New Mauville",100,"Basement",22,26,49
"New Mauville",101,"Basement",26,26,1
"New Mauville",100,"Fake",25,25,Three
"Pacifidlog Town",72,"Surf",5,35,60
"Pacifidlog Town",278,"Surf",10,30,35
"Pacifidlog Town",279,"Surf",25,30,5
"Pacifidlog Town",72,"Fish Old",5,10,30
"Pacifidlog Town",129,"Fish Old",5,10,70
"Pacifidlog Town",72,"Fish Good",10,30,20
"Pacifidlog Town",129,"Fish Good",10,30,60
"Pacifidlog Town",320,"Fish Good",10,30,20
"Pacifidlog Town",319,"Fish Super",30,35,40
"Pacifidlog Town",320,"Fish Super",25,45,60
"Pacifidlog Town",116,"Trade",NULL,NULL,NULL
"Petalburg City",183,"Surf",5,35,100
"Petalburg City",118,"Fish Old",5,10,30
"Petalburg City",129,"Fish Old",5,10,70
"Petalburg City",118,"Fish Good",10,30,20
"Petalburg City",129,"Fish Good",10,30,60
"Petalburg City",341,"Fish Good",10,30,20
"Petalburg City",341,"Fish Super",20,45,100
"Petalburg Woods",261,"Grass",5,6,30
"Petalburg Woods",265,"Grass",5,6,25
"Petalburg Woods",266,"Grass",5,5,10
"Petalburg Woods",268,"Grass",5,5,10
"Petalburg Woods",276,"Grass",5,6,5
"Petalburg Woods",285,"Grass",5,6,15
"Petalburg Woods",287,"Grass",5,6,5
"Rustboro City",273,"Trade",NULL,NULL,NULL
"Rusturf Tunnel",293,"Cave",5,8,100
"Seafloor Cavern",41,"Cave",28,35,90
"Seafloor Cavern",42,"Cave",33,36,10
"Seafloor Cavern",41,"Surf",5,35,35
"Seafloor Cavern",42,"Surf",30,35,5
"Seafloor Cavern",72,"Surf",5,35,60
"Seafloor Cavern",72,"Fish Old",5,10,30
"Seafloor Cavern",129,"Fish Old",5,10,70
"Seafloor Cavern",72,"Fish Good",10,30,20
"Seafloor Cavern",129,"Fish Good",10,30,60
"Seafloor Cavern",320,"Fish Good",10,30,20
"Seafloor Cavern",320,"Fish Super",20,45,100
"Shoal Cave",41,"Cave",26, 28, 30
"Shoal Cave",42,"Cave",32,32,5
"Shoal Cave",363,"Cave",26, 28, 30
"Shoal Cave",72,"Surf",5,35,60
"Shoal Cave",41,"Surf",5,35,30
"Shoal Cave",363,"Surf",25,35,10
"Shoal Cave",72,"Fish Old",5,10,30
"Shoal Cave",129,"Fish Old",5,10,70
"Shoal Cave",72,"Fish Good",10,30,20
"Shoal Cave",129,"Fish Good",10,30,60
"Shoal Cave",320,"Fish Good",10,30,20
"Shoal Cave",320,"Fish Super",20,45,100
"Shoal Cave",41,"Cave",26,30,40
"Shoal Cave",42,"Cave",30,32,5
"Shoal Cave",361,"Cave",26,30,10
"Shoal Cave",363,"Cave",26, 28, 30
"Sky Pillar",42,"1F",34,35,30
"Sky Pillar",302,"1F",33,34,30
"Sky Pillar",344,"1F",36,38,25
"Sky Pillar",354,"1F",37,38,15
"Sky Pillar",42,"3F",34,35,30
"Sky Pillar",302,"3F",33,34,30
"Sky Pillar",344,"3F",36,38,25
"Sky Pillar",354,"3F",37,38,15
"Sky Pillar",42,"5F",34,35,30
"Sky Pillar",302,"5F",33,34,30
"Sky Pillar",334,"5F",38,39,6
"Sky Pillar",344,"5F",36,38,19
"Sky Pillar",354,"5F",37,38,15
"Sky Pillar",384,"Special",70,70,NULL
"Slateport City",72,"Surf",5,35,60
"Slateport City",278,"Surf",10,30,35
"Slateport City",279,"Surf",25,30,5
"Slateport City",72,"Fish Old",5,10,30
"Slateport City",129,"Fish Old",5,10,70
"Slateport City",72,"Fish Good",10,30,20
"Slateport City",129,"Fish Good",10,30,60
"Slateport City",320,"Fish Good",10,30,20
"Slateport City",320,"Fish Super",20,45,100
"Sootopolis City",129,"Surf",5,35,100
"Sootopolis City",72,"Fish Old",5,10,30
"Sootopolis City",129,"Fish Old",5,10,70
"Sootopolis City",129,"Fish Good",10,30,100
"Sootopolis City",129,"Fish Super",30,35,80
"Sootopolis City",130,"Fish Super",5,45,20
"Southern Island",380,"Eon",50,50,NULL
"Southern Island",381,"Eon",50,50,NULL
"Team Aqua Hideout",101,"Fake",30,30,Two
"Terra Cave",383,"Special",70,70,NULL
"Underwater",170,"Dive",20,30,30
"Underwater",366,"Dive",20,35,65
"Underwater",369,"Dive",30,35,5
"Victory Road",41,"Cave",36,36,10
"Victory Road",42,"Cave",38,40,25
"Victory Road",293,"Cave",36,36,5
"Victory Road",294,"Cave",40,40,10
"Victory Road",296,"Cave",36,36,10
"Victory Road",297,"Cave",38,40,25
"Victory Road",304,"Cave",36,36,5
"Victory Road",305,"Cave",40,40,10
"Victory Road",42,"Cave",38,42,35
"Victory Road",297,"Cave",38,42,35
"Victory Road",303,"Cave",38,38,5
"Victory Road",305,"Cave",40,42,25
"Victory Road",74,"Rock Smash",30,40,30
"Victory Road",75,"Rock Smash",30,40,70
"Victory Road",42,"Cave",40,44,35
"Victory Road",302,"Cave",40,44,35
"Victory Road",303,"Cave",42,44,5
"Victory Road",305,"Cave",40,44,25
"Victory Road",42,"Surf",25,40,100
"Victory Road",118,"Fish Old",5,10,30
"Victory Road",129,"Fish Old",5,10,70
"Victory Road",118,"Fish Good",10,30,20
"Victory Road",129,"Fish Good",10,30,60
"Victory Road",339,"Fish Good",10,30,20
"Victory Road",339,"Fish Super",25,35,80
"Victory Road",340,"Fish Super",30,45,20
"Weather Institute",351,"Gift",25,25,NULL
